spec,model,theorem,n,W_true,W_mean,bias,sd,replications,se,sd_se,coverage
Model1,Model1,Theorem 1,90,0.38436191678047177,1.2239680527348158,0.8396061359543441,0.0,1,0.23645702786519457,0.0,0.0
Model8,Model8,Theorem 2,90,0.38436191678047177,0.6481382068746557,0.26377629009418396,0.0,1,0.1848726615876436,0.0,1.0
Model15,Model15,Theorem 3,90,3.141592653589793,4.025390625,0.8837979714102069,0.0,1,0.0,0.0,0.0
