spec,model,theorem,n,W_true,W_mean,bias,sd,replications,se,sd_se,coverage
Model8,Model8,Theorem 2,1500,0.38569899044513695,0.391734831962539,0.006035841517402052,0.04170752710148082,2000,0.04172379045122108,0.002566192486324129,0.949
Model8,Model8,Theorem 2,3000,0.38569899044513695,0.38897494099164803,0.003275950546511086,0.028651861390237038,2000,0.02941411659526656,0.0013819983189146342,0.952
Model8,Model8,Theorem 2,6000,0.38569899044513695,0.3865575118533031,0.0008585214081661685,0.021529704607393892,2000,0.020729282808609067,0.0007554723304555218,0.9385
Model9,Model9,Theorem 2,1500,0.23577592637836933,0.2374998991626136,0.001723972784244271,0.04357597770711546,2000,0.04306599337929166,0.0025962533907301615,0.943
Model9,Model9,Theorem 2,3000,0.23577592637836933,0.23838196117464747,0.002606034796278134,0.029972726057631453,2000,0.03049031129300718,0.0012696113195095936,0.958
Model9,Model9,Theorem 2,6000,0.23577592637836933,0.23706130902842926,0.0012853826500599241,0.02191782204399929,2000,0.021529704662887107,0.0006470055884713355,0.938
Model10,Model10,Theorem 2,1500,0.5001447265625,0.504169203651784,0.004024477089283995,0.05278475745770599,2000,0.0511699872889598,0.0020174953530841624,0.945
Model10,Model10,Theorem 2,3000,0.5001447265625,0.5021383678996941,0.001993641337194152,0.03641233974213393,2000,0.03641983947382894,0.001157322373858622,0.9565
Model10,Model10,Theorem 2,6000,0.5001447265625,0.5013622609356075,0.001217534373107565,0.0251868592447484,2000,0.02585285500424498,0.000640032049377427,0.9525
Model11,Model11,Theorem 2,1500,0.10325284179687498,0.13234061164702493,0.02908776985014995,0.036613937952499676,2000,0.03784449873490701,0.004077234177222681,0.907
Model11,Model11,Theorem 2,3000,0.10325284179687498,0.11966601595905942,0.016413174162184435,0.02696727707356327,2000,0.027286465516639737,0.002349306641477053,0.9185
Model11,Model11,Theorem 2,6000,0.10325284179687498,0.11093720551909007,0.007684363722215093,0.019068851316106233,2000,0.019486332679115367,0.0012941957952139144,0.9395
Model12,Model12,Theorem 2,1500,0.049940449218749995,0.09055443461114007,0.04061398539239008,0.031403941977363424,2000,0.034294042698418736,0.0049117940509240945,0.8515
Model12,Model12,Theorem 2,3000,0.049940449218749995,0.07336380261031468,0.023423353391564684,0.023111801112791614,2000,0.02456466769438753,0.0031000458165602613,0.885
Model12,Model12,Theorem 2,6000,0.049940449218749995,0.061850132955449284,0.01190968373669929,0.016314770919569524,2000,0.017482556635290854,0.0018028857443463857,0.9275
Model13,Model13,Theorem 2,1500,0.23152330322265624,0.2475107102586589,0.015987407036002654,0.043903682002890354,2000,0.0437343671296118,0.003042211411529222,0.934
Model13,Model13,Theorem 2,3000,0.23152330322265624,0.23970935562361012,0.00818605240095388,0.031486877534841314,2000,0.03125008416415034,0.001526956242542953,0.9425
Model13,Model13,Theorem 2,6000,0.23152330322265624,0.23554451996907705,0.004021216746420808,0.022243404162612484,2000,0.022273899050963906,0.0007925163166031375,0.9445
Model14,Model14,Theorem 2,1500,0.12498994140625,0.14930129416056848,0.024311352754318477,0.03700958361988627,2000,0.038565857453794136,0.0047590349064446065,0.9325
Model14,Model14,Theorem 2,3000,0.12498994140625,0.13655893675600977,0.011568995349759775,0.025978035898804066,2000,0.026720326711691708,0.0023977679872718245,0.942
Model14,Model14,Theorem 2,6000,0.12498994140625,0.1296422516299514,0.004652310223701411,0.018214674899920024,2000,0.018749339973124137,0.0011662657452943743,0.951
Model15,Model15,Theorem 3,1500,3.141592653589793,3.1517433,0.01015064641020702,0.07429165545433129,2000,0.0713867163615412,0.010936061441827023,0.934
Model15,Model15,Theorem 3,3000,3.141592653589793,3.1507199999999997,0.009127346410206627,0.049656565802153815,2000,0.04991234859164788,0.002978362770206213,0.943
Model15,Model15,Theorem 3,6000,3.141592653589793,3.147399,0.005806346410206942,0.03453252041892166,2000,0.03530565610588138,0.001608840495790333,0.9515
