dgp,K_sel_med,K_sel_max,gam15,gam3,gam6,h_rmse,V_bias,V_cover,W_bias,W_cover,draws
dense,100.0,200,0.9916666666666667,0.008333333333333333,0.0,0.5198682668291026,0.015144856770833333,0.9833333333333333,0.05984080145955235,0.45,120
sparse,200.0,200,1.0,0.0,0.0,0.5364436690732041,0.009714762369791666,0.9833333333333333,0.06795803953563614,0.275,120
