dim,n,K,rep,n_t,n_c,W_true,V_true,W_hat,W_se,V_hat,V_se,eps_band,n_band,share_pos,V_loo,W_dev,V_dev,n_varV,W_cover,V_cover
3,500,25,24,256,244,0.37796080233885754,0.573486328125,0.29395599506788417,0.062397418059857705,0.41796875,0.09375023830009442,0.007792559722373947,42,0.41796875,,-0.08400480727097337,-0.155517578125,4.3945535906622455,1.0,1.0
3,500,25,25,256,244,0.37796080233885754,0.573486328125,0.44107920326288874,0.06360719135454142,0.521728515625,0.06055366041419184,0.00834662476192686,29,0.521728515625,,0.0631184009240312,-0.0517578125,1.833372894778632,1.0,1.0
3,500,25,26,248,252,0.37796080233885754,0.573486328125,0.40472462809334825,0.0680580089420296,0.581787109375,0.08031065508069209,0.008417227183456834,38,0.581787109375,,0.02676382575449071,0.00830078125,3.2249006597449466,1.0,1.0
3,500,25,27,252,248,0.37796080233885754,0.573486328125,0.4009268753786728,0.07521482507840896,0.54833984375,0.10054730271625718,0.009272308697584816,52,0.54833984375,,0.022966073039815238,-0.025146484375,5.05488004175733,1.0,1.0
3,500,25,28,236,264,0.37796080233885754,0.573486328125,0.45000673857159107,0.06355459483676716,0.5283203125,0.047603315982552935,0.009590493427850793,23,0.5283203125,,0.07204593623273353,-0.045166015625,1.1330378462673898,1.0,1.0
3,500,25,29,241,259,0.37796080233885754,0.573486328125,0.3535658988595438,0.05986309699072477,0.505126953125,0.06300986106140113,0.008675303220992523,35,0.505126953125,,-0.024394903479313723,-0.068359375,1.9851212954885376,1.0,1.0
3,500,25,30,237,263,0.37796080233885754,0.573486328125,0.3438874849356774,0.06052253347593951,0.52294921875,0.09224109685887266,0.007608491387247439,42,0.52294921875,,-0.03407331740318015,-0.050537109375,4.254209974863964,1.0,1.0
3,500,25,31,223,277,0.37796080233885754,0.573486328125,0.5552735533504912,0.06833803556190561,0.656494140625,0.0549142081918907,0.009705064520728772,26,0.656494140625,,0.17731275101163368,0.0830078125,1.5077851306711576,0.0,1.0
3,500,25,32,245,255,0.37796080233885754,0.573486328125,0.45626816715971436,0.06416777702628546,0.630615234375,0.05987262250426601,0.009266307658188514,36,0.630615234375,,0.07830736482085682,0.05712890625,1.7923654627691703,1.0,1.0
3,500,25,33,241,259,0.37796080233885754,0.573486328125,0.42465905366566004,0.06464221065731941,0.61474609375,0.05860218019684654,0.009289610932456374,35,0.61474609375,,0.0466982513268025,0.041259765625,1.7171077619118367,1.0,1.0
3,500,25,34,249,251,0.37796080233885754,0.573486328125,0.3911260775730502,0.06480953599053998,0.47998046875,0.06411157834590488,0.009354185989311871,37,0.47998046875,,0.013165275234192642,-0.093505859375,2.0551472390015495,1.0,1.0
3,500,25,35,256,244,0.37796080233885754,0.573486328125,0.41676206614276534,0.07151928564836343,0.566650390625,0.07162990704075156,0.008573074378342618,35,0.566650390625,,0.038801263803907804,-0.0068359375,2.565421791333355,1.0,1.0
3,500,25,36,262,238,0.37796080233885754,0.573486328125,0.3805443104985272,0.06977483086307931,0.581787109375,0.0645717416405131,0.008400498602830805,30,0.581787109375,,0.0025835081596696785,0.00830078125,2.084754909244587,1.0,1.0
3,500,25,37,239,261,0.37796080233885754,0.573486328125,0.4310983232786598,0.07034524998897207,0.642578125,0.07393412190748821,0.00842937143691245,27,0.642578125,,0.053137520939802285,0.069091796875,2.7331271911156643,1.0,1.0
3,500,25,38,236,264,0.37796080233885754,0.573486328125,0.4690801112378647,0.06252876028311993,0.6025390625,0.05491886248647144,0.0092555418262709,27,0.6025390625,,0.09111930889900716,0.029052734375,1.5080407284039798,1.0,1.0
3,500,25,39,254,246,0.37796080233885754,0.573486328125,0.40225782160591195,0.06741381108710334,0.56640625,0.04745289414207289,0.009459390523050509,26,0.56640625,,0.02429701926705441,-0.007080078125,1.1258885812293877,1.0,1.0
3,500,25,40,226,274,0.37796080233885754,0.573486328125,0.3824896727230084,0.05890158221672304,0.515380859375,0.10050733023793038,0.008985964027355353,48,0.515380859375,,0.00452887038415084,-0.05810546875,5.050861715778196,1.0,1.0
3,500,25,41,267,233,0.37796080233885754,0.573486328125,0.30855873577368553,0.055879753856266604,0.447265625,0.09813671702573806,0.008334395282857022,51,0.447265625,,-0.069402066565172,-0.126220703125,4.815407614294894,1.0,1.0
3,500,25,42,254,246,0.37796080233885754,0.573486328125,0.4784103646305192,0.07211545069862381,0.538330078125,0.06440707441166384,0.009098173343924995,27,0.538330078125,,0.10044956229166169,-0.03515625,2.074135617134801,1.0,1.0
3,500,25,43,216,284,0.37796080233885754,0.573486328125,0.4529187031835815,0.07017158630244993,0.550048828125,0.0539566404517258,0.00976375562820008,32,0.550048828125,,0.07495790084472398,-0.0234375,1.4556595244184067,1.0,1.0
3,500,25,44,245,255,0.37796080233885754,0.573486328125,0.2989564175467463,0.06650655198606888,0.571533203125,0.059512036123911774,0.00792286783813461,25,0.571533203125,,-0.07900438479211125,-0.001953125,1.7708412218068899,1.0,1.0
3,500,25,45,260,240,0.37796080233885754,0.573486328125,0.35672096922356766,0.05575657636465915,0.396484375,0.05256017557885814,0.00950082656502786,26,0.396484375,,-0.021239833115289874,-0.177001953125,1.381286028440198,1.0,0.0
3,500,25,46,251,249,0.37796080233885754,0.573486328125,0.3334276124236668,0.06878595829924204,0.608154296875,0.08036161432700316,0.007475033709451431,28,0.608154296875,,-0.04453318991519073,0.03466796875,3.2289945286209996,1.0,1.0
3,500,25,47,246,254,0.37796080233885754,0.573486328125,0.3801903892546473,0.06292312305634648,0.5478515625,0.056665973429183836,0.0094942563351104,38,0.5478515625,,0.002229586915789783,-0.025634765625,1.6055162723384842,1.0,1.0
3,500,25,48,242,258,0.37796080233885754,0.573486328125,0.49700527562915386,0.0800234675676572,0.6455078125,0.06050202330846245,0.007645493639693241,20,0.6455078125,,0.11904447329029633,0.072021484375,1.830247412208867,1.0,1.0
3,500,25,49,247,253,0.37796080233885754,0.573486328125,0.4428529061688937,0.0642054172388132,0.58984375,0.04047017427433014,0.00837460239942624,20,0.58984375,,0.06489210383003619,0.016357421875,0.8189175028973265,1.0,1.0
3,500,50,0,257,243,0.37796080233885754,0.573486328125,0.513056606156909,0.09146380521484383,0.611083984375,0.09579021904980836,0.010393931140321782,46,0.611083984375,,0.13509580381805142,0.03759765625,4.587883032805134,1.0,1.0
3,500,50,1,241,259,0.37796080233885754,0.573486328125,0.5014056592564089,0.08667786983030559,0.624755859375,0.09335425312206792,0.010923345344048117,55,0.624755859375,,0.12344485691755136,0.05126953125,4.357508287989564,1.0,1.0
