cell,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover
F1_cubic,0,0.04687213902070653,0.5,0.361703361399228,0.1385783600495748,0.461669921875,0.02130918682896071,0.0037071860504655552,68,0.06143175636538146,-0.038330078125,1.0,0.09170622102886827,0.0
F1_cubic,1,0.04687213902070653,0.5,0.3790265575335032,0.16309166491871235,0.5186767578125,0.022710904486951528,0.003858661938848272,84,0.06462040668756462,0.0186767578125,1.0,0.11621952589800583,0.0
F1_cubic,2,0.04687213902070653,0.5,0.39856683794830383,0.174281761239486,0.5357666015625,0.023766013410733564,0.0039948252880973225,62,0.053325255485713416,0.0357666015625,1.0,0.12740962221877947,0.0
F1_cubic,3,0.04687213902070653,0.5,0.4203465431621217,0.18523641972206406,0.5006103515625,0.02242409704654545,0.004473610167739291,82,0.06078370768261505,0.0006103515625,1.0,0.13836428070135753,0.0
F1_cubic,4,0.04687213902070653,0.5,0.39137227825689286,0.14978447586865767,0.4774169921875,0.022311158280152416,0.00414056389237371,61,0.05002107423558379,-0.0225830078125,1.0,0.10291233684795115,0.0
F1_cubic,5,0.04687213902070653,0.5,0.39497779481159273,0.15144201039270244,0.4583740234375,0.022201604531756267,0.004219607819509845,62,0.05383714771453424,-0.0416259765625,1.0,0.10456987137199591,0.0
F1_cubic,6,0.04687213902070653,0.5,0.3911791299065246,0.12756782150028295,0.435546875,0.021050911115106194,0.003980733803176152,66,0.05766367506512964,-0.064453125,1.0,0.08069568247957642,0.0
F1_cubic,7,0.04687213902070653,0.5,0.37685169288742204,0.14776388892835646,0.475341796875,0.021716571241467107,0.003851775116864425,84,0.06818099174030573,-0.024658203125,1.0,0.10089174990764993,0.0
F1_cubic,8,0.04687213902070653,0.5,0.3487343555098563,0.09729863011522785,0.4068603515625,0.019587102025977722,0.0033896403654471575,74,0.07055163945262331,-0.0931396484375,1.0,0.050426491094521325,0.0
F1_cubic,9,0.04687213902070653,0.5,0.34560624782871774,0.1485566406738277,0.51953125,0.02316123119258433,0.0035562282976171738,72,0.06417310608465525,0.01953125,1.0,0.10168450165312118,0.0
F1_cubic,10,0.04687213902070653,0.5,0.34976418642548146,0.1744070812538703,0.54052734375,0.023349819739288562,0.003798156434388455,67,0.058219028822890595,0.04052734375,1.0,0.12753494223316378,0.0
F1_cubic,11,0.04687213902070653,0.5,0.3595391840524556,0.1479820113047441,0.4879150390625,0.02244194050490075,0.003883186502906637,70,0.05607284711360101,-0.0120849609375,1.0,0.10110987228403756,0.0
F1_cubic,12,0.04687213902070653,0.5,0.36074120965682216,0.1547269914287014,0.49169921875,0.021454945741655726,0.003767465158072061,67,0.06095622518533824,-0.00830078125,1.0,0.10785485240799486,0.0
F1_cubic,13,0.04687213902070653,0.5,0.39246967859433146,0.17436985912738384,0.50341796875,0.022377105427587876,0.004262035490289347,78,0.05364205469753139,0.00341796875,1.0,0.12749772010667731,0.0
F1_cubic,14,0.04687213902070653,0.5,0.3384628213597421,0.16236540810308295,0.5338134765625,0.022874223306447613,0.0036645946362879878,62,0.05850750059432442,0.0338134765625,1.0,0.11549326908237642,0.0
