variant,n,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_dev,W_cover,V_dev,V_cover
screen_full,1000,11,9,1.0,0.5575881350455241,0.45916801087289044,0.5523681640625,0.04885352798661413,0.009173978900394304,72,0.05025053107275951,0.10134665036254159,0.0,-0.0173797607421875,1.0
screen_split,1000,11,4,1.0,0.6969367501522638,0.4094715976620038,0.580810546875,0.06907074484854397,0.008930435166698794,79,0.06654056831177922,0.051650237151654954,1.0,0.0110626220703125,1.0
oracle,1000,11,2,1.0,0.26672122687521704,0.36874975992537157,0.5770263671875,0.048243440671167634,0.006699587601240496,53,0.0487882450446889,0.010928399415022716,1.0,0.0072784423828125,1.0
dense_K200,1000,12,50,1.0,1.4135690987958802,0.6696825293853041,0.534912109375,0.05714514606128573,0.01487643634800941,62,0.03983510710239156,0.3118611688749553,0.0,-0.0348358154296875,1.0
screen_full,1000,12,3,1.0,0.5133833953238202,0.359704588084483,0.570068359375,0.04578938028847451,0.0077999489659894075,45,0.03564845131037542,0.001883227574134172,1.0,0.0003204345703125,1.0
screen_split,1000,12,9,1.0,0.91744346998445,0.4425271254641991,0.550048828125,0.06998926861766608,0.009944099758551758,79,0.061399825928741485,0.08470576495385024,1.0,-0.0196990966796875,1.0
oracle,1000,12,2,1.0,0.29175731382550113,0.2960373904224566,0.559814453125,0.045684038870997264,0.006454640583867333,52,0.05811377938884421,-0.06178397008789227,1.0,-0.0099334716796875,1.0
dense_K200,1000,13,50,1.0,1.3911070958054612,0.7132941750217051,0.563232421875,0.05248983771354854,0.014568059177295629,61,0.038393163580132894,0.35547281451135626,0.0,-0.0065155029296875,1.0
screen_full,1000,13,10,1.0,0.6350354263980239,0.4885236643537094,0.5933837890625,0.04785226044952231,0.008851438536402818,62,0.03820260864701065,0.13070230384336057,0.0,0.0236358642578125,1.0
screen_split,1000,13,10,1.0,0.9959613798637112,0.5765996540750422,0.5205078125,0.06684493547779963,0.012379113015872627,68,0.04501886883874277,0.21877829356469336,0.0,-0.0492401123046875,1.0
oracle,1000,13,2,1.0,0.3143278906994494,0.394284246957018,0.536376953125,0.04362322227026871,0.007427881031740413,66,0.05290395786567659,0.036462886446669174,1.0,-0.0333709716796875,1.0
dense_K200,1000,14,50,1.0,1.5017776085689782,0.7083362537630866,0.53662109375,0.053191692015655205,0.016053737322097673,61,0.036254948077983684,0.35051489325273777,0.0,-0.0331268310546875,1.0
screen_full,1000,14,7,1.0,0.5666868585656956,0.4050247239592095,0.5174560546875,0.0471261003624334,0.008790440678239331,65,0.04401018272743558,0.04720336344886067,1.0,-0.0522918701171875,1.0
screen_split,1000,14,10,1.0,0.7680329947617127,0.3796563058971514,0.5316162109375,0.06813000114118989,0.00891691028578953,58,0.06029158614807312,0.02183494538680253,1.0,-0.0381317138671875,1.0
oracle,1000,14,2,1.0,0.2770769163238972,0.3394026264127371,0.5809326171875,0.05101413136158297,0.006714467414429805,38,0.03838675320835193,-0.018418734097611744,1.0,0.0111846923828125,1.0
dense_K200,1000,15,50,1.0,1.4070513405807301,0.7326081483013983,0.558349609375,0.05749145570045991,0.015195659875445298,62,0.041507221496801805,0.37478678779104946,0.0,-0.0113983154296875,1.0
screen_full,1000,15,10,1.0,0.6152686012761444,0.44312266478190065,0.5997314453125,0.052213891694386,0.008314052301233148,71,0.05073184814731793,0.0853013042715518,1.0,0.0299835205078125,1.0
screen_split,1000,15,8,1.0,0.8757318105823135,0.5287473933751187,0.5877685546875,0.07334580914061882,0.010308788783912287,48,0.049506327536391524,0.17092603286476982,0.0,0.0180206298828125,1.0
oracle,1000,15,2,1.0,0.3208618868559393,0.3850963507033043,0.6246337890625,0.049029076506855084,0.007367058992646991,57,0.054447358342335134,0.02727499019295543,1.0,0.0548858642578125,1.0
dense_K200,1000,16,50,1.0,1.5074557469927212,0.7110054098375858,0.55224609375,0.05602102732834681,0.015671186448226557,67,0.0379529199594428,0.3531840493272369,0.0,-0.0175018310546875,1.0
screen_full,1000,16,9,1.0,0.5804714719529298,0.3739348440697468,0.5245361328125,0.04623408682002654,0.008165844617427006,64,0.04631245872607121,0.016113483559397956,1.0,-0.0452117919921875,1.0
screen_split,1000,16,5,1.0,0.7517363819707062,0.46727972762697184,0.5618896484375,0.06804787344481997,0.010010618477319775,70,0.062447506409053576,0.10945836711662299,1.0,-0.0078582763671875,1.0
oracle,1000,16,2,1.0,0.359570081477844,0.39189572255229443,0.5882568359375,0.045275980981202855,0.007628001377215504,44,0.044086732157172216,0.03407436204194558,1.0,0.0185089111328125,1.0
dense_K200,1000,17,50,1.0,1.4758176196451869,0.6599037135362169,0.52734375,0.05241379861802122,0.015356736646563545,61,0.03740719628703621,0.30208235302586806,0.0,-0.0424041748046875,1.0
screen_full,1000,17,10,1.0,0.5757851054224736,0.4110257508987787,0.5594482421875,0.049101101524878885,0.008353270786865612,55,0.04473801349706879,0.053204390388429834,1.0,-0.0102996826171875,1.0
screen_split,1000,17,10,1.0,0.9424302058767383,0.4862012059149763,0.543701171875,0.0663824274870195,0.01082084440002927,60,0.04621717727102764,0.12837984540462744,1.0,-0.0260467529296875,1.0
oracle,1000,17,2,1.0,0.21548746166967292,0.3398690000725546,0.5751953125,0.04858625247793773,0.006560711495764281,35,0.03540835794162838,-0.017952360437794246,1.0,0.0054473876953125,1.0
dense_K200,1000,18,50,1.0,1.5156379240314137,0.829541390542756,0.58349609375,0.05797511088578269,0.01631310115273165,66,0.03916952495340616,0.47172003003240714,0.0,0.0137481689453125,1.0
screen_full,1000,18,5,1.0,0.6115964178252143,0.4456766155095807,0.524658203125,0.04674691110860364,0.009908328164140275,65,0.03907977334727004,0.08785525499923186,1.0,-0.0450897216796875,1.0
screen_split,1000,18,4,1.0,0.7392849469771425,0.4014674992588583,0.4901123046875,0.05856603846889939,0.010501166519462833,81,0.06213746410200889,0.04364613874850942,1.0,-0.0796356201171875,1.0
oracle,1000,18,2,1.0,0.38711716573856686,0.3778095108508034,0.5325927734375,0.04376689051597081,0.008169719746385784,107,0.09460018882699034,0.019988150340454536,1.0,-0.0371551513671875,1.0
