dim,rep,V_true,V_rf,V_se,h_rmse_rf,h_rmse_gbm,V_gbm,V_dml,corr,V_rf_dev,V_rf_cover,V_gbm_dev,V_gbm_cover,V_dml_dev,V_dml_cover
10,0,0.5839996337890625,0.5859375,0.03335430421117514,0.6283115761048763,0.5778895106459859,0.58349609375,0.6429926618917226,0.0594965681417225,0.0019378662109375,1.0,-0.0005035400390625,1.0,0.05899302810266005,1.0
10,1,0.5839996337890625,0.5787353515625,0.03497207146390867,0.5345287514516806,0.5746810821447345,0.575927734375,0.4365724892260619,-0.1393552451489381,-0.0052642822265625,1.0,-0.0080718994140625,1.0,-0.1474271445630006,0.0
10,2,0.5839996337890625,0.6033935546875,0.029866730806001416,0.5875506542681646,0.5591078431795808,0.6116943359375,0.5933813874137079,-0.01831294852379205,0.0193939208984375,1.0,0.0276947021484375,1.0,0.00938175362464544,1.0
10,3,0.5839996337890625,0.5814208984375,0.033835631500326264,0.5483026943669568,0.5821331272036755,0.5892333984375,0.5049170152695278,-0.08431638316797216,-0.0025787353515625,1.0,0.0052337646484375,1.0,-0.07908261851953469,0.0
10,4,0.5839996337890625,0.5833740234375,0.028859515712095735,0.6357969069012842,0.5761858942957214,0.6025390625,0.6414035465577707,0.03886448405777067,-0.0006256103515625,1.0,0.0185394287109375,1.0,0.057403912768708154,0.0
10,5,0.5839996337890625,0.56298828125,0.028181396921607607,0.652702097127078,0.581898621318747,0.5653076171875,0.5302518622071838,-0.03505575498031626,-0.0210113525390625,1.0,-0.0186920166015625,1.0,-0.05374777158187871,1.0
10,6,0.5839996337890625,0.591796875,0.03521553739414229,0.5297368887270819,0.5724542247028492,0.607421875,0.5801452095923314,-0.027276665407668627,0.0077972412109375,1.0,0.0234222412109375,1.0,-0.003854424196731099,1.0
10,7,0.5839996337890625,0.6015625,0.03352082139027396,0.5775830688825846,0.5619139477988113,0.6220703125,0.6111770317684883,-0.010893280731511752,0.0175628662109375,1.0,0.0380706787109375,1.0,0.027177397979425755,1.0
10,8,0.5839996337890625,0.587646484375,0.036744523476663356,0.5456478009496318,0.5751648769027145,0.6021728515625,0.5074569304002297,-0.0947159211622703,0.0036468505859375,1.0,0.0181732177734375,1.0,-0.07654270338883284,0.0
10,9,0.5839996337890625,0.6053466796875,0.031612527432634,0.6438107894071343,0.5927967928849259,0.60498046875,0.5982178341755408,-0.006762634574459279,0.0213470458984375,1.0,0.0209808349609375,1.0,0.014218200386478252,1.0
10,10,0.5839996337890625,0.593017578125,0.0340725856812395,0.5584309123493824,0.5681147595659212,0.604736328125,0.6983580798423858,0.0936217517173859,0.0090179443359375,1.0,0.0207366943359375,1.0,0.11435844605332335,0.0
10,11,0.5839996337890625,0.573974609375,0.03527723543644548,0.5530766302271879,0.5832228060182838,0.5670166015625,0.495246092466487,-0.07177050909601304,-0.0100250244140625,1.0,-0.0169830322265625,1.0,-0.08875354132257551,0.0
10,12,0.5839996337890625,0.5911865234375,0.03486260943915499,0.568736096779453,0.6083386674480699,0.5828857421875,0.5997976465078405,0.016911904320340454,0.0071868896484375,1.0,-0.0011138916015625,1.0,0.01579801271877801,1.0
10,13,0.5839996337890625,0.579833984375,0.034237474898418815,0.5369161726259255,0.5794889724275178,0.5782470703125,0.5429766108790335,-0.03527045943346652,-0.0041656494140625,1.0,-0.0057525634765625,1.0,-0.04102302291002902,1.0
10,14,0.5839996337890625,0.5609130859375,0.03442516930839532,0.6206503280177568,0.5955809442911975,0.5479736328125,0.5976417243552417,0.04966809154274165,-0.0230865478515625,1.0,-0.0360260009765625,1.0,0.013642090566179155,1.0
10,15,0.5839996337890625,0.5892333984375,0.033293406032804417,0.516851866972225,0.5819502299790354,0.617919921875,0.6581830586271049,0.04026313675210486,0.0052337646484375,1.0,0.0339202880859375,1.0,0.07418342483804241,0.0
