dgp,dim,n,K,rep,W_true,V_true,W_ss,V_ss,W_loo,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_hat_dev,W_hat_cover,W_ss_dev,W_ss_cover,W_loo_dev,W_loo_cover,V_hat_dev,V_hat_cover,V_ss_dev,V_ss_cover
dense,10,4000,200,0,0.34094618144048716,0.5839996337890625,0.3731233076765062,0.6005634805517104,0.3583428494808858,0.6026942884437243,0.43430653024745103,0.60205078125,0.026746727822017244,0.008807716844757984,76,0.03663888773229579,0.09336034880696387,0.0,0.03217712623601904,1.0,0.017396668040398633,1.0,0.0180511474609375,1.0,0.016563846762647882,1.0
dense,10,4000,200,1,0.34094618144048716,0.5839996337890625,0.38625572571688427,0.6267125746660477,0.36079143450852497,0.5691104462893698,0.4294884111264059,0.56787109375,0.025654598323437,0.009144627036084268,52,0.02604746321863337,0.08854222968591874,0.0,0.04530954427639711,1.0,0.019845253068037805,1.0,-0.0161285400390625,1.0,0.042712940876985184,1.0
dense,10,4000,200,2,0.34094618144048716,0.5839996337890625,0.3298706828186385,0.6155916604091443,0.3096379794977571,0.6284467798118581,0.388911835247134,0.579833984375,0.025941351344659337,0.008761107161257527,60,0.031485884345102334,0.04796565380664686,1.0,-0.011075498621848645,1.0,-0.03130820194273004,1.0,-0.0041656494140625,1.0,0.03159202662008176,1.0
dense,10,4000,200,3,0.34094618144048716,0.5839996337890625,0.3101226549829778,0.606668252102474,0.2897527023393961,0.5279690994454074,0.3737185957886018,0.573486328125,0.026533173888036,0.007788135718991367,56,0.03464270443465402,0.03277241434811462,1.0,-0.030823526457509354,1.0,-0.051193479101091066,1.0,-0.0105133056640625,1.0,0.022668618313411493,1.0
dense,10,4000,200,4,0.34094618144048716,0.5839996337890625,0.3636251606711749,0.6530014609700148,0.34213015525543,0.5110140039274271,0.41376013911530773,0.587890625,0.025869781042902138,0.008428231757796873,80,0.039511218148480805,0.07281395767482057,0.0,0.022678979230687735,1.0,0.0011839738149428403,1.0,0.0038909912109375,1.0,0.06900182718095227,1.0
dense,10,4000,200,5,0.34094618144048716,0.5839996337890625,0.3564302374018963,0.5272033132364737,0.33977247053565285,0.5427454413235215,0.40658845742117017,0.575927734375,0.025648621115147926,0.008499248715920334,54,0.03181373311032616,0.06564227598068301,0.0,0.015484055961409116,1.0,-0.001173710904834313,1.0,-0.0080718994140625,1.0,-0.056796320552588764,1.0
dense,10,4000,200,6,0.34094618144048716,0.5839996337890625,0.32798983397081466,0.5520527786445858,0.3142031625540738,0.4957804152695783,0.3892142264272165,0.5791015625,0.02585365013535777,0.008117772200773903,51,0.03063129557226471,0.04826804498672932,1.0,-0.012956347469672502,1.0,-0.02674301888641334,1.0,-0.0048980712890625,1.0,-0.031946855144476705,1.0
dense,10,4000,200,7,0.34094618144048716,0.5839996337890625,0.3421935746077066,0.48541015413439126,0.31898331478097386,0.5936376988423239,0.3925611391264444,0.582275390625,0.025264290908221094,0.008303178458494993,72,0.036128139568049486,0.05161495768595725,0.0,0.001247393167219446,1.0,-0.021962866659513303,1.0,-0.0017242431640625,1.0,-0.09858947965467124,0.0
dense,10,4000,200,8,0.34094618144048716,0.5839996337890625,0.33756506523753715,0.59592237385533,0.3224332002172742,0.5465689582891037,0.3950303724769138,0.582275390625,0.026827967241383213,0.008229492427934344,60,0.0330359940924197,0.05408419103642664,0.0,-0.0033811162029500075,1.0,-0.018512981223212988,1.0,-0.0017242431640625,1.0,0.011922740066267479,1.0
dense,10,4000,200,9,0.34094618144048716,0.5839996337890625,0.365590556321134,0.6356366496553,0.37788012469949567,0.5461686497229007,0.4438231539087646,0.5933837890625,0.025374801689167635,0.008663887836192243,51,0.028658641468858614,0.10287697246827743,0.0,0.024644374880646858,1.0,0.036933943259008506,1.0,0.0093841552734375,1.0,0.05163701586623748,1.0
dense,10,4000,200,10,0.34094618144048716,0.5839996337890625,0.3993081853393509,0.5955613572860183,0.37457273156010684,0.5883601820886212,0.4410983048173495,0.613037109375,0.026050640989031107,0.008683556456726152,74,0.030339948563757557,0.10015212337686236,0.0,0.05836200389886376,0.0,0.03362655011961968,1.0,0.0290374755859375,1.0,0.011561723496955834,1.0
dense,10,4000,200,11,0.34094618144048716,0.5839996337890625,0.353778465769976,0.5713008686953767,0.33558529035054974,0.6397323752682803,0.4111173219239339,0.5927734375,0.025655761485793845,0.008747673811095912,65,0.031853934400127584,0.07017114048344675,0.0,0.012832284329488852,1.0,-0.005360891089937425,1.0,0.0087738037109375,1.0,-0.012698765093685838,1.0
dense,10,4000,200,12,0.34094618144048716,0.5839996337890625,0.3983086769869461,0.5971634787657805,0.3675644299262772,0.6137500848859931,0.4438513993888512,0.5904541015625,0.026272168836051088,0.00938959059012228,77,0.036724067870751706,0.10290521794836405,0.0,0.05736249554645895,0.0,0.02661824848579003,1.0,0.0064544677734375,1.0,0.013163844976717964,1.0
dense,10,4000,200,13,0.34094618144048716,0.5839996337890625,0.3519233376768694,0.7023064231143494,0.3498333288837715,0.5413904977428319,0.4236517169553643,0.62158203125,0.02647509028430207,0.008264554714402055,70,0.03521782676003845,0.08270553551487714,0.0,0.010977156236382235,1.0,0.008887147443284338,1.0,0.0375823974609375,1.0,0.11830678932528693,0.0
dense,10,4000,200,14,0.34094618144048716,0.5839996337890625,0.3342903642151182,0.7235617965112359,0.3289857187528503,0.5320104953800378,0.4037725621135652,0.5919189453125,0.026528895151156594,0.008354346847514,65,0.03481629232323864,0.06282638067307805,0.0,-0.006655817225368954,1.0,-0.011960462687636841,1.0,0.0079193115234375,1.0,0.13956216272217337,0.0
dense,10,4000,200,15,0.34094618144048716,0.5839996337890625,0.35664913761855077,0.6352104853756119,0.3428663026610229,0.552640981349018,0.41552765606794656,0.5992431640625,0.025859330582379433,0.00818210142325346,65,0.03539198901915178,0.0745814746274594,0.0,0.01570295617806361,1.0,0.0019201212205357532,1.0,0.0152435302734375,1.0,0.051210851586549366,1.0
dense,10,4000,200,16,0.34094618144048716,0.5839996337890625,0.3007044560036754,0.5664119253338263,0.30214773309681286,0.5276572722610993,0.37576396261704337,0.555419921875,0.025183747944093834,0.008238444947882203,64,0.034707838440629246,0.034817781176556206,1.0,-0.04024172543681176,1.0,-0.0387984483436743,1.0,-0.0285797119140625,1.0,-0.017587708455236162,1.0
dense,10,4000,200,17,0.34094618144048716,0.5839996337890625,0.32583980243924104,0.6030112392029232,0.3366429507529455,0.5609928020071273,0.40676138021495695,0.6187744140625,0.02602957108847397,0.008075483021338667,54,0.03158652904560037,0.06581519877446979,0.0,-0.015106379001246117,1.0,-0.0043032306875416815,1.0,0.0347747802734375,1.0,0.01901160541386071,1.0
dense,10,4000,200,18,0.34094618144048716,0.5839996337890625,0.378770379225104,0.6685302626492533,0.35986402133751016,0.6317373759078804,0.43539292838974086,0.601806640625,0.026085061424660175,0.008752907160014376,52,0.02867808504809415,0.0944467469492537,0.0,0.03782419778461682,1.0,0.018917839897023003,1.0,0.0178070068359375,1.0,0.0845306288601908,0.0
dense,10,4000,200,19,0.34094618144048716,0.5839996337890625,0.3203047386285305,0.5147131613580368,0.3311053653798648,0.53914656730959,0.3983338283810401,0.5709228515625,0.025935730179921238,0.008459468032545636,58,0.033164818680317155,0.05738764694055293,0.0,-0.02064144281195668,1.0,-0.00984081606062237,1.0,-0.0130767822265625,1.0,-0.0692864724310257,0.0
dense,10,4000,200,20,0.34094618144048716,0.5839996337890625,0.3393724979726195,0.6297890237273043,0.32162810926554153,0.5344155828366542,0.39921052451632627,0.5784912109375,0.025427307594308227,0.008259891392828615,69,0.03569286030309805,0.05826434307583911,0.0,-0.0015736834678676814,1.0,-0.019318072174945633,1.0,-0.0055084228515625,1.0,0.045789389938241776,1.0
dense,10,4000,200,21,0.34094618144048716,0.5839996337890625,0.3369545844000358,0.6778786725782149,0.2942409156122602,0.5884338803913991,0.3804161411413616,0.58935546875,0.025707893156968323,0.007810444626914706,78,0.04118124983999025,0.03946995970087441,1.0,-0.003991597040451378,1.0,-0.04670526582822698,1.0,0.0053558349609375,1.0,0.09387903878915238,0.0
dense,10,4000,200,22,0.34094618144048716,0.5839996337890625,0.3595220734996675,0.57080078125,0.33907236629548254,0.5452597221872131,0.41300306182195445,0.5799560546875,0.02443818943732055,0.008532195418154495,82,0.039520494902695304,0.07205688038146729,0.0,0.018575892059180366,1.0,-0.0018738151450046203,1.0,-0.0040435791015625,1.0,-0.0131988525390625,1.0
dense,10,4000,200,23,0.34094618144048716,0.5839996337890625,0.3376537442710612,0.6431973306118188,0.3332772209556995,0.5867982645620636,0.40484293720851244,0.5931396484375,0.025810231397691424,0.008533650874257533,68,0.0345068283652011,0.06389675576802528,0.0,-0.0032924371694259547,1.0,-0.007668960484787657,1.0,0.0091400146484375,1.0,0.05919769682275633,1.0
dense,10,4000,200,24,0.34094618144048716,0.5839996337890625,0.3638749737356842,0.5060660157590117,0.3416028042881583,0.5827452628338149,0.4133735601178028,0.5689697265625,0.024867428502323586,0.008638259821800302,64,0.03256381980865424,0.07242737867731563,0.0,0.022928792295197065,1.0,0.0006566228476711511,1.0,-0.0150299072265625,1.0,-0.07793361803005083,0.0
dense,10,4000,200,25,0.34094618144048716,0.5839996337890625,0.3420843083916547,0.6456267758825827,0.3284124071528738,0.54715346895088,0.4036126207447768,0.5799560546875,0.025107690546637817,0.00816587251785373,63,0.034745372422212574,0.06266643930428961,0.0,0.0011381269511675507,1.0,-0.012533774287613375,1.0,-0.0040435791015625,1.0,0.06162714209352016,1.0
dense,10,4000,200,26,0.34094618144048716,0.5839996337890625,0.3344555371047183,0.4996379387082178,0.29921701888773067,0.548187127446951,0.38598618848299426,0.58544921875,0.025464810721772202,0.0082759977647493,85,0.040981246723243894,0.0450400070425071,1.0,-0.006490644335768847,1.0,-0.041729162552756494,1.0,0.0014495849609375,1.0,-0.08436169508084468,0.0
dense,10,4000,200,27,0.34094618144048716,0.5839996337890625,0.3226432694854868,0.4867487246723845,0.2992451075914154,0.5913305452602841,0.3776855227992115,0.5726318359375,0.025672047108518274,0.008311130787173137,61,0.0336473450385747,0.036739341358724364,1.0,-0.018302911955000334,1.0,-0.041701073849071735,1.0,-0.0113677978515625,1.0,-0.097250909116678,0.0
dense,10,4000,200,28,0.34094618144048716,0.5839996337890625,0.33578752554152247,0.5985336126952758,0.3338541915861836,0.5438544413306486,0.41149053602998376,0.62841796875,0.028118328427841024,0.008062518900437637,48,0.03214716744412633,0.0705443545894966,0.0,-0.0051586558989646925,1.0,-0.0070919898543035376,1.0,0.0444183349609375,1.0,0.01453397890621333,1.0
dense,10,4000,200,29,0.34094618144048716,0.5839996337890625,0.39594124779281814,0.6648949791929251,0.3674211435033235,0.5541733093580496,0.4415600023638609,0.59130859375,0.026376278914803392,0.008840396452118619,62,0.03276724660232013,0.10061382092337373,0.0,0.05499506635233098,0.0,0.026474962062836338,1.0,0.0073089599609375,1.0,0.08089534540386256,0.0
dense,10,4000,200,30,0.34094618144048716,0.5839996337890625,0.3578008195794388,0.616754859037029,0.38240633077863506,0.6141178226187746,0.4492008093296954,0.5875244140625,0.02560230483077482,0.009332833150465633,64,0.029854344218338543,0.10825462788920825,0.0,0.01685463813895166,1.0,0.0414601493381479,1.0,0.0035247802734375,1.0,0.03275522524796648,1.0
dense,10,4000,200,31,0.34094618144048716,0.5839996337890625,0.39710746214729553,0.620475474309248,0.37459903296307373,0.5542242494771779,0.4369958922833871,0.60107421875,0.02499946426727663,0.008354900079039386,47,0.027647932890034255,0.09604971084289993,0.0,0.05616128070680837,0.0,0.03365285152258657,1.0,0.0170745849609375,1.0,0.03647584052018549,1.0
dense,10,4000,200,32,0.34094618144048716,0.5839996337890625,0.36791976464885645,0.6002658008685396,0.3584870280115898,0.5577044540773992,0.42731652490024674,0.6209716796875,0.02715510696735039,0.008228040378302184,68,0.03418948807647413,0.08637034345975958,0.0,0.02697358320836929,1.0,0.017540846571102664,1.0,0.0369720458984375,1.0,0.016266167079477145,1.0
dense,10,4000,200,33,0.34094618144048716,0.5839996337890625,0.2940187909479546,0.6136739110974645,0.30724837336517613,0.6031329199970858,0.38249385383925727,0.578369140625,0.026093831095821796,0.008449938552566733,58,0.03491521237183685,0.04154767239877011,1.0,-0.046927390492532584,1.0,-0.03369780807531103,1.0,-0.0056304931640625,1.0,0.029674277308401997,1.0
dense,10,4000,200,34,0.34094618144048716,0.5839996337890625,0.36091115322631007,0.6957713502285392,0.3621257750276683,0.5561957095738734,0.4319193111451153,0.59814453125,0.0258264745424057,0.008388572727015932,60,0.03388566640133176,0.09097312970462812,0.0,0.019964971785822905,1.0,0.021179593587181134,1.0,0.0141448974609375,1.0,0.1117717164394767,0.0
dense,10,4000,200,35,0.34094618144048716,0.5839996337890625,0.36192736059431774,0.5090805820533428,0.34354713693841965,0.5504423588727284,0.41466354906377934,0.6116943359375,0.026607999732480275,0.008347631856391459,54,0.03355001708539122,0.07371736762329217,0.0,0.020981179153830576,1.0,0.002600955497932489,1.0,0.0276947021484375,1.0,-0.07491905173571967,0.0
