dim,gbm_bias,dml_bias,dml_sd,se_plug,se_aug,dml_cover_plug,dml_cover_aug,gbm_cover_aug,draws
10,0.0051885986328125,0.0063675978187599245,0.0483821615752691,0.03392003560694557,0.05575897704586178,0.83,0.98,1.0,100
50,0.075213623046875,0.021755347697449273,0.05050267514285793,0.03632664275136468,0.06317590437148604,0.79,0.98,0.96,100
