variant,n,S_hit,S_size,h_rmse,V_bias,V_sd,V_se,V_cover,W_bias,W_se,W_cover,draws
dense_K200,1000,1.0,50.0,1.4172325934000667,-0.0138153076171875,0.02709738029521204,0.039880758141267576,0.98,0.3670415019768984,0.054502461347956506,0.0,150
screen_full,1000,1.0,8.64,0.5677396193717918,0.007026163736979166,0.038757922964825574,0.04598762758733867,0.9533333333333334,0.07746939747933311,0.050254804527628476,0.62,150
screen_split,1000,1.0,8.146666666666667,0.8433756179414793,-0.0006504313151041666,0.04867235431767103,0.05550205415610407,0.9666666666666667,0.1516678951934669,0.0710983748486929,0.4666666666666667,150
oracle,1000,1.0,2.0,0.33035351226723264,0.007801717122395834,0.04453323715706783,0.05696711027115735,0.96,0.02453414800134406,0.047020964683492504,0.88,150
dense_K200,4000,1.0,50.0,0.6098856616964458,0.021442667643229166,0.0189064470066783,0.035114959657611695,0.9933333333333333,0.0927324036267421,0.027292529710881214,0.07333333333333333,150
screen_full,4000,1.0,8.906666666666666,0.30269755987089586,0.0135137939453125,0.02197492057858814,0.026586714074820855,0.9666666666666667,0.02350555640002389,0.025714746065441413,0.8133333333333334,150
screen_split,4000,1.0,8.626666666666667,0.39128804766702485,0.011586710611979167,0.027768446073483326,0.03592854549170796,0.9666666666666667,0.03622450490118489,0.03610311343764477,0.8133333333333334,150
oracle,4000,1.0,2.0,0.1640593977346163,0.0016990152994791666,0.02877350909700118,0.029952685610609667,0.96,0.005262151007101208,0.02361285741793176,0.94,150
