dim,n,K,W_true,W_bias,W_sd,W_se_mean,W_cover,V_true,V_bias,V_sd,V_se_mean,V_cover,n_varV_mean,eps_mean,n_band_mean,draws
3,500,25,0.37796080233885754,0.043020888602288546,0.06567663409440079,0.0663718740850063,0.9,0.573486328125,-0.0073583984375,0.06400716184940282,0.06746679712177887,0.96,2.415174148109199,0.008873191613527924,33.58,50
3,500,50,0.37796080233885754,0.11898287239805976,0.06534278288762922,0.06753009087607863,0.64,0.573486328125,-0.002724609375,0.05293778751726197,0.06742607262000122,0.98,2.4091921628410686,0.011004270569033008,37.54,50
3,1000,25,0.37796080233885754,0.02563171455731345,0.056913191696177645,0.04783390806530016,0.92,0.573486328125,0.00435546875,0.046947691729777134,0.046332773130470795,0.94,2.244738532289087,0.007911397453942554,27.6,50
3,1000,50,0.37796080233885754,0.06262756647587399,0.05489980100060123,0.04718471610911007,0.76,0.573486328125,0.001767578125,0.03868344365298616,0.052749626417892694,0.96,2.885675680636851,0.008893792967053333,31.56,50
5,500,25,0.3628114154831657,0.08827736353078679,0.09108584182786973,0.07496998382615094,0.76,0.5751953125,0.01146484375,0.051772427851086454,0.06352096650786938,1.0,2.1295921431181855,0.009211302744057024,31.38,50
5,500,50,0.3628114154831657,0.11648402918453486,0.07260746853394626,0.06894551261706358,0.58,0.5751953125,-0.0171826171875,0.05136607377511556,0.061497334786311926,0.92,1.9494534707368034,0.010791800685882506,33.92,50
5,1000,25,0.3628114154831657,0.027822439439630628,0.0434915227097043,0.05375745837607947,1.0,0.5751953125,0.016962890625,0.03994721423299229,0.05162295597543711,0.98,2.779474218767571,0.00796077456770396,30.72,50
5,1000,50,0.3628114154831657,0.061501264414448024,0.04390461690572955,0.049453178835632716,0.78,0.5751953125,0.004833984375,0.03382980052701662,0.05437806106464464,1.0,3.0353148011155353,0.008844512082413273,34.38,50
