variant,tau_scale,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,W_true,V_true,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
screen_full,1.0,5,10,1.0,0.3164241614740737,0.2287010863297145,0.6160888671875,0.02679897220545155,0.003959854900634738,62,0.04658165409304699,0.19527573512618557,0.11927378683678294,0.5697479248046875,0.0463409423828125,1.0,0.10942729949293156,0.0,0.07600194828940263,0.0
screen_split,1.0,5,10,1.0,0.44331807396726963,0.2389410889466023,0.567626953125,0.0344783781836861,0.005117973913728201,74,0.05386543479314773,0.18448921359218587,0.11927378683678294,0.5697479248046875,-0.0021209716796875,1.0,0.11966730210981935,0.0,0.06521542675540293,1.0
screen_full,1.0,6,9,1.0,0.25247523344385586,0.18268008659512236,0.6695556640625,0.026752057744585517,0.0027981866195110126,62,0.07286146350736351,0.14432293216614156,0.11927378683678294,0.5697479248046875,0.0998077392578125,1.0,0.06340629975833942,0.0,0.02504914532935862,1.0
screen_split,1.0,6,10,1.0,0.44107514677027687,0.24032328419322652,0.5941162109375,0.036910811230856294,0.004738781345238054,75,0.0649813169452513,0.1774611206902772,0.11927378683678294,0.5697479248046875,0.0243682861328125,1.0,0.12104949735644358,0.0,0.058187333853494255,1.0
screen_full,1.0,7,10,1.0,0.26030997902955383,0.1982394992358694,0.617431640625,0.026952237632516876,0.003247172600313551,64,0.05669236619318691,0.16009800458697265,0.11927378683678294,0.5697479248046875,0.0476837158203125,1.0,0.07896571239908645,0.0,0.04082421775018971,1.0
screen_split,1.0,7,10,1.0,0.37152088699772257,0.20019719173833606,0.5489501953125,0.03553495209850791,0.004236689213872278,74,0.06922593024890722,0.12842921557198703,0.11927378683678294,0.5697479248046875,-0.0207977294921875,1.0,0.08092340490155311,0.0,0.009155428735204085,1.0
screen_full,1.0,8,10,1.0,0.24751186318279372,0.17295099316196816,0.5697021484375,0.02443065141533848,0.0033788317917099104,75,0.06388201350122813,0.13425835358816435,0.11927378683678294,0.5697479248046875,-4.57763671875e-05,1.0,0.05367720632518522,0.0,0.014984566751381406,1.0
screen_split,1.0,8,10,1.0,0.320542941329498,0.1875527526850423,0.5885009765625,0.035541267600100186,0.0035216109450759456,59,0.07148049051119668,0.11500793320721973,0.11927378683678294,0.5697479248046875,0.0187530517578125,1.0,0.06827896584825935,1.0,-0.004265853629563207,1.0
screen_full,1.0,9,3,1.0,0.25594904888929215,0.1870384495754252,0.62548828125,0.024135628393543933,0.003397735640382181,63,0.06422583554002255,0.15969954940965,0.11927378683678294,0.5697479248046875,0.0557403564453125,1.0,0.06776466273864226,0.0,0.04042576257286706,1.0
screen_split,1.0,9,8,1.0,0.3573990384062293,0.19309552856074536,0.544189453125,0.03450884256034733,0.004106511284737211,65,0.06228857220143509,0.11871309322568974,0.11927378683678294,0.5697479248046875,-0.0255584716796875,1.0,0.07382174172396241,0.0,-0.0005606936110932048,1.0
screen_full,1.0,10,6,1.0,0.2547577955951837,0.18339425791450528,0.6302490234375,0.02593209966870019,0.003272265984342377,53,0.05247284157458619,0.15118046141289226,0.11927378683678294,0.5697479248046875,0.0605010986328125,1.0,0.06412047107772234,0.0,0.03190667457610932,1.0
