outcome,n,K,gamma,cv_rmse,W_hat,W_hat_seedSD,V_hat,V_hat_seedSD,W_loo,W_loo_seedSD,V_loo,V_loo_seedSD,se_W,se_V,n_band,sd_h,W_hat_lo,W_hat_hi,V_hat_lo,V_hat_hi
trimmed_no_cost,9220,50,1.5,15563.733136424646,1383.5310757784875,5.113041394850926,0.9142624728850326,0.002773667884869961,1280.579176392714,25.460838263991622,0.9652887402492727,0.04822155353502181,309.5087529574501,0.060977834069564224,17.5,1641.3301768501997,776.9050670819804,1990.1570844749947,0.7947481142534273,1.033776831516638
trimmed_cost774,9220,25,1.5,15886.874630116412,702.7594427008651,20.427697239208733,0.8230477223427332,0.006643312066936312,594.0677743628682,108.71978921940605,0.8817592642523353,0.742953795487509,284.53704328508604,0.054117567535691816,19.0,1642.7701978089194,145.07708559458194,1260.441799807148,0.7169792390418631,0.9291162056436032
untrimmed_no_cost,9223,25,1.5,17902.413778145623,1483.8613387400887,26.470210147832617,0.8894069174888866,0.021064338089651084,1368.2988245123952,41.08852268167515,0.9243579443572493,0.21827090134564675,305.90670718492754,0.06782087904206223,51.0,3564.983137472118,884.2952100283906,2083.427467451787,0.7564804371665972,1.022333397811176
untrimmed_cost774,9223,25,1.5,16999.465612303335,825.226208041475,39.058244547132155,0.8175214138566627,0.03569082385672434,702.1841156083083,60.424799191965946,0.9306707289824233,0.25624892189084447,286.8155402283122,0.06164406540767729,67.5,3564.983090101363,263.07807898758404,1387.3743370953662,0.6967012657969838,0.9383415619163415
