variant,tau_scale,V_true,S_hit,S_size,h_rmse,V_bias,V_cover,W_bias,W_cover,Wloo_bias,Wloo_cover,draws
screen_full,1.0,0.5697479248046875,1.0,7.86,0.26159390713570413,-0.0053387451171875,0.9666666666666667,0.04407537011167807,0.6066666666666667,0.008679597250717729,0.9266666666666666,150
screen_split,1.0,0.5697479248046875,1.0,7.62,0.3690737167025997,-0.019741414388020833,0.98,0.07629650654022692,0.3933333333333333,0.01532592491609767,0.8933333333333333,150
screen_full,2.0,0.5697479248046875,1.0,8.6,0.28421820145330723,0.014428507486979167,0.94,0.03412709874702607,0.7266666666666667,0.01070992229404813,0.8933333333333333,150
screen_split,2.0,0.5697479248046875,1.0,8.36,0.3801078305322778,0.007940877278645833,0.98,0.05149370662378911,0.7133333333333334,0.004964183411281787,0.9266666666666666,150
screen_full,3.0,0.5697479248046875,1.0,9.066666666666666,0.29986878137375683,0.007098592122395833,0.9733333333333334,0.017462274903585626,0.86,0.0009397076538990704,0.9266666666666666,150
screen_split,3.0,0.5697479248046875,1.0,8.52,0.39683501573931623,0.0086822509765625,0.9733333333333334,0.03822719010752975,0.8,0.004870380544003438,0.9533333333333334,150
