dim,n,h_rmse,V_rmse,V_bias,V_se,V_cover,n_varV,W_bias,W_cover,draws
10,1000,0.3397241550056791,0.05027482810514096,0.004577433268229167,0.0578579134031524,0.94,3.827650381643015,0.019754780641949073,0.9066666666666666,150
10,4000,0.159454823315259,0.027846063734949404,0.0009950764973958334,0.029313918454415007,0.9066666666666666,3.699024393459769,0.005958340458178527,0.9066666666666666,150
10,16000,0.08142027361036504,0.01364956113411245,0.0018227132161458333,0.01453122457825498,0.9733333333333334,3.4776142904388174,0.0009778029909138927,0.94,150
50,1000,0.3325006781216313,0.05329965775343508,0.0011545817057291667,0.06088870108452622,0.9333333333333333,4.27262158262107,0.018496792420442446,0.92,150
50,4000,0.1609528686191526,0.027393981287938886,0.0030621337890625,0.030575746571819582,0.9466666666666667,3.9940434518384267,0.0036782622533491284,0.96,150
50,16000,0.07952403858520003,0.013612307140137479,0.0021563720703125,0.014923720718335974,0.9733333333333334,3.663807118360296,0.0017453278575701987,0.94,150
100,1000,0.342119570068604,0.04792228931155242,0.0011912027994791666,0.05681487840354966,0.9666666666666667,3.5993186373321966,0.019914998663040986,0.9266666666666666,150
100,4000,0.16272806037698168,0.030125562562593355,0.0055059814453125,0.029098494406301103,0.9266666666666666,3.555044510912134,0.007835935770980178,0.9333333333333333,150
100,16000,0.08016351065122249,0.013696379159777224,0.0009299723307291666,0.014871809195447913,0.9666666666666667,3.6116167646696997,0.0010922383687581325,0.98,150
