cell,rep,truth,plug,loo,se_plug,se_aug,h_rmse,plug_dev,loo_dev,plug_cover,loo_cover_plugse,loo_cover_augse
V_share81,0,0.8134002685546875,0.76611328125,1.001446834579227,0.03266116414464259,0.03324509184312007,0.5857801448655725,-0.0472869873046875,0.1880465660245394,1.0,0.0,0.0
V_share81,1,0.8134002685546875,0.75244140625,0.5957743585546311,0.03208920746744563,0.032472152089785634,0.5715735591253805,-0.0609588623046875,-0.21762591000005638,1.0,0.0,0.0
V_share81,2,0.8134002685546875,0.763916015625,0.734212197221904,0.0335118050802783,0.03375350365931921,0.6169348600019388,-0.0494842529296875,-0.0791880713327835,1.0,0.0,0.0
V_share81,3,0.8134002685546875,0.75634765625,0.7224788346403137,0.03656161586628373,0.03671071377148637,0.5958669476619843,-0.0570526123046875,-0.0909214339143738,1.0,0.0,0.0
V_share81,4,0.8134002685546875,0.74169921875,0.9067022098361069,0.03101377520788023,0.03143496820657879,0.6267400945784168,-0.0717010498046875,0.09330194128141944,0.0,0.0,0.0
V_share81,5,0.8134002685546875,0.7816162109375,0.6039606434379938,0.039957502883702624,0.04030368629873566,0.6142286955333003,-0.0317840576171875,-0.20943962511669367,1.0,0.0,0.0
V_share81,6,0.8134002685546875,0.741455078125,0.8482824403887332,0.030595714342311942,0.030804567420460977,0.6463439382868638,-0.0719451904296875,0.03488217183404574,0.0,1.0,1.0
V_share81,7,0.8134002685546875,0.7615966796875,0.8983953558489539,0.02757879786924345,0.027942272269741907,0.6143134862514513,-0.0518035888671875,0.08499508729426641,1.0,0.0,0.0
V_share81,8,0.8134002685546875,0.772216796875,0.7704607516696406,0.03534564596061934,0.035474082471835526,0.653444756135719,-0.0411834716796875,-0.042939516885046936,1.0,1.0,1.0
V_share81,9,0.8134002685546875,0.76171875,0.7641021811894008,0.024247725987514873,0.024435575308646706,0.6360838072874885,-0.0516815185546875,-0.049298087365286736,0.0,0.0,0.0
V_share81,10,0.8134002685546875,0.7677001953125,0.9823908376983761,0.031064026158144492,0.031647113876468666,0.6315105131551751,-0.0457000732421875,0.1689905691436886,1.0,0.0,0.0
V_share81,11,0.8134002685546875,0.8187255859375,0.581015532919569,0.036607724502659506,0.03723478319810945,0.5906212086237709,0.0053253173828125,-0.23238473563511852,1.0,0.0,0.0
V_share81,12,0.8134002685546875,0.7607421875,0.7998080427279128,0.02700196851131933,0.027175709202929263,0.5721241368468283,-0.0526580810546875,-0.013592225826774662,1.0,1.0,1.0
V_share81,13,0.8134002685546875,0.75537109375,0.8243427979767224,0.03730299459065947,0.03748157568092897,0.6029235495571875,-0.0580291748046875,0.010942529422034886,1.0,1.0,1.0
V_share81,14,0.8134002685546875,0.7762451171875,0.8102246027775127,0.030658950993939654,0.030840801303836488,0.6440762487669887,-0.0371551513671875,-0.003175665777174763,1.0,1.0,1.0
V_share81,15,0.8134002685546875,0.7525634765625,0.6268655555710634,0.040426748410798935,0.04066870907136416,0.5576078356632244,-0.0608367919921875,-0.18653471298362412,1.0,0.0,0.0
V_share81,16,0.8134002685546875,0.77001953125,0.7836587708316726,0.031162448664333983,0.03132927436139709,0.5965773148416044,-0.0433807373046875,-0.02974149772301493,1.0,1.0,1.0
V_share81,17,0.8134002685546875,0.791015625,0.6389407199190218,0.03284979496812881,0.0332235349299591,0.5854896072975344,-0.0223846435546875,-0.1744595486356657,1.0,0.0,0.0
V_share81,18,0.8134002685546875,0.77392578125,0.794072276406179,0.036305793782873415,0.03646818492863763,0.5905177473251562,-0.0394744873046875,-0.019327992148508555,1.0,1.0,1.0
V_share81,19,0.8134002685546875,0.7716064453125,0.8826881577591265,0.03776361157654149,0.03796055064434837,0.6311804770155063,-0.0417938232421875,0.06928788920443896,1.0,1.0,1.0
V_share81,20,0.8134002685546875,0.745361328125,0.6815486729177455,0.025968795003974674,0.02618322112281432,0.614394189832239,-0.0680389404296875,-0.13185159563694204,0.0,0.0,0.0
V_share81,21,0.8134002685546875,0.7506103515625,0.8309306852875968,0.031685969108159115,0.03187219472237842,0.6293057233500706,-0.0627899169921875,0.017530416732909337,0.0,1.0,1.0
V_share81,22,0.8134002685546875,0.7769775390625,0.7950988483302964,0.03568254511555787,0.035818224308443614,0.5850023761032133,-0.0364227294921875,-0.018301420224391074,1.0,1.0,1.0
V_share81,23,0.8134002685546875,0.7945556640625,0.7785274362021198,0.03203834729277221,0.03222170835279682,0.6078730481611383,-0.0188446044921875,-0.03487283235256766,1.0,1.0,1.0
V_share81,24,0.8134002685546875,0.7545166015625,0.4797123167601753,0.03441742961480539,0.03515287561305423,0.648344581953978,-0.0588836669921875,-0.3336879517945122,1.0,0.0,0.0
V_share81,25,0.8134002685546875,0.7559814453125,0.8743709987361901,0.03103847290612657,0.03126574119996685,0.59578639830568,-0.0574188232421875,0.060970730181502564,1.0,0.0,1.0
V_share81,26,0.8134002685546875,0.76416015625,0.8198756584769556,0.028803020707922136,0.028992431866633514,0.6210971733954443,-0.0492401123046875,0.006475389922268149,1.0,1.0,1.0
V_share81,27,0.8134002685546875,0.75048828125,0.7449083021050874,0.03367926043009218,0.03382709510504384,0.61975891219567,-0.0629119873046875,-0.0684919664496001,1.0,0.0,0.0
V_share81,28,0.8134002685546875,0.7694091796875,0.7561428900081505,0.025663842450042395,0.02585066870357551,0.5934890771589897,-0.0439910888671875,-0.05725737854653701,1.0,0.0,0.0
V_share81,29,0.8134002685546875,0.75537109375,0.951052165964418,0.030443004630108843,0.03095700231345895,0.6036842376921894,-0.0580291748046875,0.1376518974097305,1.0,0.0,0.0
