p,n,K,h_rmse,Vplug_bias,Vplug_rmse,Vplug_cover,Vloo_bias,Vloo_rmse,Vloo_cover,Wplug_bias,Wplug_cover,Wloo_bias,Wloo_cover,draws
1.6,1000,80,0.34647160515607345,0.026087239583333335,0.07553884795608166,0.8933333333333333,0.01607862631018253,0.16701579271407455,0.6333333333333333,0.04767971332275962,0.8533333333333334,0.006483615261658532,0.8933333333333333,150
1.6,4000,156,0.16479637257656415,0.005282389322916667,0.04368510997130378,0.96,-0.010778139497427591,0.08327272069803775,0.82,0.010488570716066042,0.94,-0.0017069032920743958,0.9133333333333333,150
1.6,16000,301,0.08364560080742395,-0.00015869140625,0.025037917548875254,0.96,0.0006440177592892985,0.029932487093330268,0.9266666666666666,0.004035130544347406,0.94,0.0008263456757393954,0.9466666666666667,150
2.5,1000,30,0.3217923611957414,0.07403401692708333,0.11830859254153601,0.88,0.11255906019554776,0.3034478816751167,0.56,0.0643045143590266,0.7666666666666667,0.011748774995254741,0.8733333333333333,150
2.5,4000,48,0.1613423591454536,0.0760888671875,0.11170264441434415,0.8733333333333333,0.06275754957619083,0.2055492747192428,0.6533333333333333,0.02323034751615319,0.86,0.003993258779826844,0.94,150
2.5,16000,76,0.08119514847220688,0.037129720052083336,0.06733969741865284,0.9466666666666667,0.010726736913696685,0.09368609043791909,0.86,0.00779589302576231,0.9266666666666666,0.0008414676913230801,0.92,150
