cell,truth,h_rmse,plug_bias,plug_cover,loo_bias,loo_sd,se_plug,se_aug,loo_cover_plugse,loo_cover_augse,draws
V_share81,0.8134002685546875,0.6031181644552328,-0.04268086751302083,0.8666666666666667,-0.0037300046516341987,0.13184309979066783,0.032852334147527834,0.0331646647830756,0.38,0.38666666666666666,150
V_share95,0.954071044921875,0.5988453973849794,-0.058874104817708335,0.22666666666666666,-0.0185867177195204,0.09614727196930074,0.025377539788481257,0.025621108777088675,0.41333333333333333,0.41333333333333333,150
W_baseline,0.33960013695911856,0.5990668090631063,0.08613147170034517,0.13333333333333333,0.0016099440254947698,0.0324465328658295,0.027791056392841955,0.027863738275739392,0.9133333333333333,0.9133333333333333,150
