label,n,K,dim,W_hat,W_se,V_hat,V_se,h_rmse,eps_band,n_band,rep,W_true,V_true,dgp,feat_q,gamma,W_dev,V_dev,n_varV,W_cover,V_cover
A_dense_d10_n1000_K50,1000,50,10,0.41949499410425806,0.061070015147407716,0.614501953125,0.05913482946542986,0.5582734674264648,0.00793902611920971,61,0,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.0785488126637709,0.0305023193359375,3.496928055905472,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.475302260667792,0.05822249729491814,0.662841796875,0.055046864654454006,0.62891904383001,0.007560794193288161,65,1,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.13435607922730486,0.0788421630859375,3.030157308285778,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5327820364420116,0.055507376859435936,0.642333984375,0.05160556568468672,0.6884220339232779,0.00942704323724837,74,2,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.19183585500152445,0.0583343505859375,2.6631344096365157,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.3884136568690981,0.05851767679814847,0.5784912109375,0.05381886879656802,0.6116273560546487,0.008148230698115513,68,3,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.04746747542861096,-0.0055084228515625,2.8964706385422025,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.3193664312553173,0.053074413647803145,0.5435791015625,0.05779729122682504,0.5841026415274256,0.007110772379795792,69,4,0.34094618144048716,0.5839996337890625,dense,-1,3.0,-0.021579750185169888,-0.0404205322265625,3.3405268731584266,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.32248893188679967,0.05300598128777096,0.582763671875,0.058129681568291014,0.507462018193143,0.006921326090043727,67,5,0.34094618144048716,0.5839996337890625,dense,-1,3.0,-0.018457249553687494,-0.0012359619140625,3.379059879230912,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.40098906972960036,0.05691298471399213,0.5704345703125,0.04394257485083963,0.6608843999575041,0.008902335725814224,61,6,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.060042888289113194,-0.0135650634765625,1.9309498845216437,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5006530584089672,0.05579325189547418,0.55712890625,0.03722672979595956,0.7601359877444833,0.010911810651468927,59,7,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.15970687696848007,-0.0268707275390625,1.3858294113013834,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4639370429293316,0.056491144208750885,0.6396484375,0.04526842673039393,0.5839614505428595,0.007853982139475859,55,8,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.12299086148884442,0.0556488037109375,2.049230458645044,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.44214234180413503,0.0557910769225272,0.5943603515625,0.04212291081451905,0.6332724920039411,0.008295646459915177,58,9,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.10119616036364787,0.0103607177734375,1.7743396154879258,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.44365410046626014,0.058212652135115325,0.61669921875,0.050256994408305715,0.5875514931087825,0.008235490395661012,58,10,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.10270791902577298,0.0326995849609375,2.525765486956472,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.36598135124756054,0.05197196346317668,0.5531005859375,0.048867105322076526,0.6371054887505819,0.008023860705011899,58,11,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.025035169807073376,-0.0308990478515625,2.38799398255892,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.3939135657517625,0.052739814303124584,0.601318359375,0.056969623479441636,0.6101687221773275,0.007628946422743465,67,12,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.052967384311275345,0.0173187255859375,3.245537999389348,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.38729225483595714,0.06141092638893375,0.64208984375,0.05805058991082923,0.5076700777829003,0.006824524647245319,58,13,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.04634607339546998,0.0580902099609375,3.3698709889952685,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4265143003944575,0.05083905318121533,0.577392578125,0.054727137563100145,0.6547047693160806,0.008458668343879313,68,14,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.08556811895397032,-0.0066070556640625,2.995059585850487,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4580604306676195,0.05993675595806997,0.600341796875,0.04859878255628599,0.5982992697822592,0.008953639563717223,64,15,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.11711424922713232,0.0163421630859375,2.3618416659531674,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.504296836383539,0.05858487556162026,0.61572265625,0.031214624289020085,0.7006498997757133,0.009638721347787307,46,16,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1633506549430518,0.0317230224609375,0.9743527695046826,0.0,1.0
