p,n,K,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_loo,W_loo,V_hat_dev,V_hat_cover,V_loo_dev,V_loo_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover,V_sqerr_plug,V_sqerr_loo
1.6,1000,80,21,0.22573558700716836,0.5,0.42903104176598816,0.28712977134391404,0.4703369140625,0.03862349420326986,0.00641190956100322,57,0.05824264720363052,0.33404107543606687,0.24909021323192082,-0.0296630859375,1.0,-0.16595892456393313,0.0,0.06139418433674568,1.0,0.023354626224752456,1.0,0.0008798986673355103,0.027542364642417248
1.6,1000,80,22,0.22573558700716836,0.5,0.2975452870363843,0.25830942922172545,0.5550537109375,0.04177212518686695,0.005344119925670181,53,0.053719154878539024,0.6140863301727959,0.22662358918737974,0.0550537109375,1.0,0.1140863301727959,0.0,0.032573842214557086,1.0,0.0008880021802113724,1.0,0.003030911087989807,0.013015690732296201
1.6,1000,80,23,0.22573558700716836,0.5,0.33578964025791286,0.29247375962402644,0.652587890625,0.05223450864392909,0.004448796306745699,62,0.07298492779151886,0.6087438569740699,0.24334556221098316,0.152587890625,0.0,0.10874385697406985,1.0,0.06673817261685808,1.0,0.0176099752038148,1.0,0.023283064365386963,0.01182522642959696
1.6,1000,80,24,0.22573558700716836,0.5,0.3876320905484491,0.300904235351573,0.4495849609375,0.03967227419904973,0.006836248986767954,72,0.05995399553267083,0.4541638849735628,0.2684918431342074,-0.0504150390625,1.0,-0.045836115026437196,1.0,0.07516864834440465,1.0,0.04275625612703901,1.0,0.002541676163673401,0.0021009494407167816
1.6,1000,80,25,0.22573558700716836,0.5,0.3683739295086316,0.26601619176521174,0.5010986328125,0.04240507637291987,0.005342555171802913,58,0.06604096018349757,0.5528290600220499,0.23583431766423896,0.0010986328125,1.0,0.0528290600220499,1.0,0.040280604758043376,1.0,0.010098730657070593,1.0,1.2069940567016602e-06,0.0027909095828133512
1.6,1000,80,26,0.22573558700716836,0.5,0.461337155754169,0.2703784340515633,0.479736328125,0.04476689840759264,0.00603932402048365,53,0.05528617642931268,0.5143204622449427,0.23795009689941676,-0.020263671875,1.0,0.014320462244942656,1.0,0.044642847044394945,1.0,0.012214509892248399,1.0,0.000410616397857666,0.00020507563890882804
1.6,1000,80,27,0.22573558700716836,0.5,0.28729723141316377,0.3240284735807292,0.556640625,0.048039684655702665,0.005779027160601639,59,0.06558993139592292,0.6747732543689257,0.2819389410722395,0.056640625,1.0,0.17477325436892566,0.0,0.09829288657356086,0.0,0.056203354065071126,1.0,0.003208160400390625,0.030545690442705192
1.6,1000,80,28,0.22573558700716836,0.5,0.26886550479441274,0.2837119671237707,0.50634765625,0.04606181843692889,0.0057995174228508625,67,0.07822714724668164,0.6729926093874482,0.2396502608338112,0.00634765625,1.0,0.1729926093874482,0.0,0.05797638011660236,1.0,0.013914673826642826,1.0,4.029273986816406e-05,0.029926442902678232
1.6,1000,80,29,0.22573558700716836,0.5,0.3376620862548341,0.28713024968326395,0.4835205078125,0.040713223383733746,0.0056269895427200275,84,0.09138011552115012,0.3023685648048857,0.24866507699129042,-0.0164794921875,1.0,-0.19763143519511428,0.0,0.061394662676095585,1.0,0.02292948998412206,1.0,0.00027157366275787354,0.03905818417728066
1.6,1000,80,30,0.22573558700716836,0.5,0.3530330122297226,0.24372971807763016,0.4024658203125,0.03933665945071797,0.006252507631048018,76,0.09104556254969141,0.42906736278045876,0.20767300329657393,-0.0975341796875,1.0,-0.07093263721954124,1.0,0.0179941310704618,1.0,-0.018062583710594438,1.0,0.009512916207313538,0.005031439022919047
1.6,1000,80,31,0.22573558700716836,0.5,0.3166568914412334,0.26401775949623435,0.5562744140625,0.04369445176341549,0.005291111622327291,47,0.04859619062606666,0.6474965476096115,0.23271070274232722,0.0562744140625,1.0,0.1474965476096115,0.0,0.038282172489065985,1.0,0.006975115735158854,1.0,0.0031668096780776978,0.021755231556754392
1.6,1000,80,32,0.22573558700716836,0.5,0.2875091146911795,0.22870206268035054,0.48095703125,0.04090842654947215,0.004732110628136553,106,0.15399931406291045,0.31682551095006084,0.15487685337999524,-0.01904296875,1.0,-0.18317448904993916,1.0,0.002966475673182173,1.0,-0.07085873362717313,1.0,0.00036263465881347656,0.03355289343870628
1.6,1000,80,33,0.22573558700716836,0.5,0.2601898022746472,0.2731472999120125,0.4700927734375,0.04017477166409025,0.005455690789761321,83,0.09389372115491076,0.38213506272676423,0.23373000684328343,-0.0299072265625,1.0,-0.11786493727323577,1.0,0.04741171290484411,1.0,0.007994419836115069,1.0,0.0008944422006607056,0.013892143438423803
1.6,1000,80,34,0.22573558700716836,0.5,0.322340702474975,0.32382404645419927,0.5350341796875,0.04366552609126317,0.00590213265936151,75,0.0905878355052672,0.48350918032812856,0.2837472268569257,0.0350341796875,1.0,-0.016490819671871437,1.0,0.0980884594470309,0.0,0.05801163984975735,1.0,0.0012273937463760376,0.000271947133450182
