cell,V_true,h_rmse,V_bias,V_sd,V_se,V_cover,W_bias,W_cover,Wloo_bias,Wloo_cover,p_min,draws
baseline,0.58599853515625,0.5977651946313299,-0.004505208333333333,0.02103758797980088,0.03663224960307313,1.0,0.0838329220092457,0.14,-0.0013054060420129938,0.8866666666666667,0.21672702520645462,150
relu,0.58599853515625,0.7149457513898032,-0.0018221028645833332,0.018970274452658926,0.03481892066174954,1.0,0.0851134983598698,0.12666666666666668,-0.01645454336990916,0.8466666666666667,0.21308447668923342,150
tanh,0.58599853515625,0.739248678014336,0.011048990885416667,0.01777938779556414,0.03710024002392207,1.0,0.10883919246515783,0.02666666666666667,0.013946443766711739,0.9133333333333333,0.2157412923106205,150
hetero,0.58599853515625,0.6091764607934892,-0.0046484375,0.018635383443509533,0.036842700012129755,1.0,0.08692925324517017,0.10666666666666667,-0.0012962442123285094,0.9,0.2163582363018703,150
share85,0.954071044921875,0.5948081593306901,-0.05830118815104167,0.014327270268195968,0.02574766151404269,0.2733333333333333,0.04150169811658408,0.7933333333333333,0.0014396723943848773,0.92,0.2145610858051992,150
weak_overlap,0.58599853515625,0.6350571702916858,0.031630859375,0.022626993411034864,0.0355701052835512,0.9533333333333334,0.13415780375117398,0.013333333333333334,0.053044312776027926,0.5733333333333334,0.02088587901431434,150
d10,0.5839996337890625,0.5776730796439625,0.0085076904296875,0.020461657806285578,0.0343690173608347,1.0,0.07289715904763641,0.22,-0.0017543998601926999,0.8933333333333333,0.22864756730444455,150
sparse_dgp,0.5697479248046875,0.552744579475407,0.0082379150390625,0.018397211222498815,0.03359632256503689,1.0,0.07059594575657373,0.21333333333333335,-0.0016900484217674911,0.94,0.3129484776151123,150
