shift,n,V_true,h_rmse,Vplug_bias,Vplug_cover,Vloo_bias,Vloo_cover,V_se,n_band,draws
-0.55,4000,0.8134002685546875,0.6003140636059092,-0.0425164794921875,0.82,0.01277975146470861,0.37333333333333335,0.03238951675429419,48.54666666666667,150
-0.55,16000,0.8134002685546875,0.3218742696174694,0.0064190673828125,1.0,0.021394436653730788,0.58,0.018955107614208936,41.806666666666665,150
-0.4,4000,0.954071044921875,0.5970403185445142,-0.05990193684895833,0.2,0.007665936699730809,0.35333333333333333,0.025296114805828475,29.713333333333335,150
-0.4,16000,0.954071044921875,0.3192857548562847,-0.014010009765625,0.9266666666666666,0.0005282974518544115,0.58,0.012332359191883732,18.18,150
