shift,n,rep,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_loo,V_hat_dev,V_hat_cover,V_loo_dev,V_loo_cover
-0.55,4000,0,0.8134002685546875,0.6590258568877108,0.7700294366369829,0.78662109375,0.03298902080731743,0.008561015981830036,40,0.026262130600650628,1.1461250101160152,-0.0267791748046875,1.0,0.3327247415613277,0.0
-0.55,4000,1,0.8134002685546875,0.6249404691214103,0.7585813133775607,0.76220703125,0.03235129736834249,0.009001041848970076,43,0.028532490965939857,1.0108736868601365,-0.0511932373046875,1.0,0.19747341830544896,0.0
-0.55,4000,2,0.8134002685546875,0.6114320678809861,0.7978287221118818,0.79296875,0.0327419481478897,0.008472335309050791,44,0.031870360194588075,0.7951318569635433,-0.0204315185546875,1.0,-0.01826841159114423,1.0
-0.55,4000,3,0.8134002685546875,0.5822336667895346,0.7149236595990512,0.793212890625,0.03246616869252782,0.0077470957889730655,49,0.035570472975748134,0.9730705796516552,-0.0201873779296875,1.0,0.15967031109696772,0.0
-0.55,4000,4,0.8134002685546875,0.5838079898287634,0.7638658297916356,0.775146484375,0.032345644685023815,0.008674688988549154,43,0.03179648493381403,0.7393407132625531,-0.0382537841796875,1.0,-0.07405955529213437,0.0
-0.55,4000,5,0.8134002685546875,0.5849521901916942,0.7632855621900815,0.78125,0.032584505712635305,0.008540134816684726,44,0.02970597507058911,0.836540293173941,-0.0321502685546875,1.0,0.023140024619253463,1.0
-0.55,4000,6,0.8134002685546875,0.6574249875806418,0.7105908311846819,0.75439453125,0.03169192233875614,0.008673348699449464,47,0.028936085448744354,0.7604516136864208,-0.0590057373046875,0.0,-0.05294865486826672,1.0
-0.55,4000,7,0.8134002685546875,0.5777139824071271,0.7576529926376936,0.7899169921875,0.03296590456917186,0.008104076873816302,48,0.03186594089684574,0.7404746780699808,-0.0234832763671875,1.0,-0.0729255904847067,0.0
-0.55,4000,8,0.8134002685546875,0.564639771873757,0.8000609943223861,0.804931640625,0.033852205973549196,0.008329859128099555,42,0.028045551143319032,0.9752355908132904,-0.0084686279296875,1.0,0.16183532225860287,0.0
-0.55,4000,9,0.8134002685546875,0.6132405005466246,0.7345435385431863,0.780029296875,0.03273185762853513,0.008451057249499086,46,0.02852097905929061,1.0234307635280466,-0.0333709716796875,1.0,0.21003049497335913,0.0
-0.55,4000,10,0.8134002685546875,0.5951018780302846,0.696138461971978,0.757568359375,0.032654367265628946,0.008267075660376252,35,0.02423902149495785,0.7771707944291443,-0.0558319091796875,0.0,-0.036229474125543226,1.0
-0.55,4000,11,0.8134002685546875,0.5382735144452891,0.7488384828474164,0.8067626953125,0.033913957170372745,0.00776449534828628,43,0.030031485555682774,0.8774656814953814,-0.0066375732421875,1.0,0.0640654129406939,0.0
-0.55,4000,12,0.8134002685546875,0.5703136285825513,0.7151166424775917,0.760009765625,0.03182053596289407,0.008425511327527942,49,0.03370447420428551,0.9197927883304914,-0.0533905029296875,1.0,0.10639251977580388,0.0
-0.55,4000,13,0.8134002685546875,0.6348600037289585,0.7046646139066766,0.740234375,0.03159164800431367,0.008829530858925261,43,0.0295584176261433,0.8373115999845506,-0.0731658935546875,0.0,0.023911331429863125,1.0
-0.55,4000,14,0.8134002685546875,0.6125116987601841,0.7648349173904037,0.7908935546875,0.03197036124622913,0.008246766893183287,52,0.034371746134152045,0.6767776967853898,-0.0225067138671875,1.0,-0.1366225717692977,0.0
-0.55,4000,15,0.8134002685546875,0.5857247727043217,0.7115565153945207,0.764892578125,0.03116537417138185,0.008220081307898234,50,0.0333580501830637,0.7632727033039234,-0.0485076904296875,1.0,-0.05012756525076412,1.0
-0.55,4000,16,0.8134002685546875,0.5426045557759963,0.7312953231978274,0.7818603515625,0.03226313429611785,0.008053545366143187,40,0.02998404667964509,0.6993189717609694,-0.0315399169921875,1.0,-0.11408129679371815,0.0
-0.55,4000,17,0.8134002685546875,0.6463969231988936,0.7608395050606253,0.7808837890625,0.03170993179460313,0.008571838657044124,39,0.02665356344754741,0.7230100112414566,-0.0325164794921875,1.0,-0.09039025731323092,0.0
-0.55,4000,18,0.8134002685546875,0.5410252335828926,0.7363783812736777,0.794921875,0.032883801212218185,0.007805772826661648,40,0.031771490860162566,0.464016223418117,-0.0184783935546875,1.0,-0.3493840451365705,0.0
-0.55,4000,19,0.8134002685546875,0.608476983063038,0.7117023481980314,0.7628173828125,0.03228809001557766,0.008484447766175355,37,0.029156527340889887,0.8392066854454084,-0.0505828857421875,1.0,0.02580641689072094,1.0
-0.55,4000,20,0.8134002685546875,0.617777976775766,0.7718654981906437,0.767578125,0.03226366683930283,0.009015721010564302,46,0.029247140620544065,0.7810502669417423,-0.0458221435546875,1.0,-0.03235000161294521,1.0
-0.55,4000,21,0.8134002685546875,0.5995722162449197,0.7071181383372717,0.75048828125,0.03190592038766798,0.008769468224998534,48,0.030775989835234142,0.9349295437920142,-0.0629119873046875,0.0,0.1215292752373267,0.0
-0.55,4000,22,0.8134002685546875,0.5707486895789853,0.7612048213141167,0.792236328125,0.033324287809809915,0.008110753935169853,47,0.035347537294733326,0.7487381374154355,-0.0211639404296875,1.0,-0.06466213113925201,1.0
-0.55,4000,23,0.8134002685546875,0.6280098131295743,0.7929805412229586,0.8046875,0.03296284869258696,0.008237746233045455,49,0.034215522107575766,0.9507432058207582,-0.0087127685546875,1.0,0.13734293726607072,0.0
-0.55,4000,24,0.8134002685546875,0.5966516056531752,0.778011676244024,0.7889404296875,0.033140838888127744,0.008370116498112565,52,0.03551391104388449,1.007048943739807,-0.0244598388671875,1.0,0.1936486751851194,0.0
-0.55,4000,25,0.8134002685546875,0.5859934975020683,0.7724502574444183,0.8016357421875,0.03396878080670636,0.008078688640070763,50,0.03427784235588101,0.9768192298136004,-0.0117645263671875,1.0,0.16341896125891286,0.0
-0.55,4000,26,0.8134002685546875,0.5916870516099227,0.7146790101778392,0.774658203125,0.03283586818957448,0.008245557877754052,46,0.03198147267458377,0.8662482467608872,-0.0387420654296875,1.0,0.052847978206199686,1.0
-0.55,4000,27,0.8134002685546875,0.6105818684047408,0.7001259558863782,0.7681884765625,0.03319201723340453,0.008359742080288576,43,0.02949569136060217,0.9346056610470757,-0.0452117919921875,1.0,0.12120539249238815,0.0
-0.55,4000,28,0.8134002685546875,0.5863236099073388,0.7457440667190287,0.7860107421875,0.03261221968888208,0.008168803369136031,37,0.029351852062088495,0.7980745909624267,-0.0273895263671875,1.0,-0.015325677592260778,1.0
-0.55,4000,29,0.8134002685546875,0.6184593536116513,0.7382106414938994,0.7513427734375,0.03199523441902785,0.008963720115015937,53,0.0332293039466023,0.8572782158421947,-0.0620574951171875,1.0,0.04387794728750716,1.0
-0.55,4000,30,0.8134002685546875,0.6062216943316429,0.7907286264944962,0.7818603515625,0.03480948862863306,0.008831763819872666,58,0.0365544569682208,0.8630211248218229,-0.0315399169921875,1.0,0.049620856267135416,1.0
-0.55,4000,31,0.8134002685546875,0.5828682333780661,0.7293126178943843,0.7774658203125,0.03251641196665322,0.008215443032258256,53,0.03440764895554262,0.604445694238215,-0.0359344482421875,1.0,-0.20895457431647246,0.0
-0.55,4000,32,0.8134002685546875,0.5889484222345424,0.743592870384222,0.7763671875,0.032065923151500184,0.00843461389883026,42,0.030586510308442696,0.868082072694915,-0.0370330810546875,1.0,0.0546818041402275,1.0
-0.55,4000,33,0.8134002685546875,0.5612458780933113,0.7193875677155221,0.7734375,0.03205769613899164,0.008132782197072124,46,0.03364338857540365,0.8701943703418398,-0.0399627685546875,1.0,0.056794101787152274,1.0
-0.55,4000,34,0.8134002685546875,0.6489930190423085,0.6759987944728475,0.7442626953125,0.03116358133618217,0.008483508559191178,50,0.03280313620146276,1.0038103340593378,-0.0691375732421875,0.0,0.19041006550465034,0.0
-0.55,4000,35,0.8134002685546875,0.6185899395926353,0.7599935432043332,0.773681640625,0.032458425252410446,0.008787124288344354,44,0.028161330086363158,0.9445706570614817,-0.0397186279296875,1.0,0.1311703885067942,0.0
-0.55,4000,36,0.8134002685546875,0.5883118320292043,0.6684922539779045,0.7542724609375,0.0312894063560071,0.008101852585084694,37,0.027855288687535062,0.881085271790468,-0.0591278076171875,0.0,0.06768500323578053,0.0
-0.55,4000,37,0.8134002685546875,0.6238756154078718,0.7172314718450836,0.773681640625,0.03318668884578954,0.008135879020172656,54,0.037995236652671086,0.7296042654369875,-0.0397186279296875,1.0,-0.08379600311769997,0.0
-0.55,4000,38,0.8134002685546875,0.5762235715579727,0.7132785453739305,0.7645263671875,0.033287711697754,0.008266642948911999,38,0.02688053788679481,0.8428274067632169,-0.0488739013671875,1.0,0.02942713820852938,1.0
-0.55,4000,39,0.8134002685546875,0.6109817423186673,0.7508795288456365,0.7799072265625,0.032477387525545645,0.008517069126749183,51,0.035469942357072216,0.7012303160309842,-0.0334930419921875,1.0,-0.11216995252370332,0.0
-0.55,4000,40,0.8134002685546875,0.6330234649089873,0.780465828066369,0.7550048828125,0.032058656742270625,0.009483349875109012,53,0.029560830924813212,0.7605869729943637,-0.0583953857421875,0.0,-0.05281329556032377,1.0
-0.55,4000,41,0.8134002685546875,0.5904613290947749,0.7182769351697036,0.7847900390625,0.034055320494865024,0.007948291042086473,49,0.03628400738737762,0.776312052305193,-0.0286102294921875,1.0,-0.03708821624949454,1.0
-0.55,4000,42,0.8134002685546875,0.6359081775235629,0.7369916669145947,0.7777099609375,0.031497176952919884,0.008338592057740705,36,0.02799275056731211,0.6949915667865376,-0.0356903076171875,1.0,-0.11840870176814988,0.0
-0.55,4000,43,0.8134002685546875,0.5932007722699145,0.7439733602696742,0.755859375,0.03299830678194798,0.008896308601082311,51,0.031930497538038165,0.9034045544022039,-0.0575408935546875,1.0,0.09000428584751641,0.0
-0.55,4000,44,0.8134002685546875,0.5943269616658443,0.7493323311535557,0.7730712890625,0.03377629348386876,0.008567404085163035,36,0.028573682008648005,1.0391721670134526,-0.0403289794921875,1.0,0.2257718984587651,0.0
-0.55,4000,45,0.8134002685546875,0.5889669127994674,0.7298474264839541,0.7850341796875,0.033515004350082415,0.008154296838724135,57,0.03779803981054718,0.6296528350966624,-0.0283660888671875,1.0,-0.18374743345802513,0.0
-0.55,4000,46,0.8134002685546875,0.6308624889987681,0.7066043641265396,0.7596435546875,0.032920211641365736,0.008355250109995067,54,0.03364266602816468,0.8587752850737712,-0.0537567138671875,1.0,0.04537501651908371,1.0
-0.55,4000,47,0.8134002685546875,0.6250530586484835,0.756061093549534,0.776123046875,0.031485767574286484,0.008698872400096525,49,0.03125429780066551,0.8570059958320584,-0.0372772216796875,1.0,0.04360572727737089,1.0
-0.55,4000,48,0.8134002685546875,0.60170576277129,0.6982458046945683,0.7568359375,0.032120242203118134,0.008385259084317259,49,0.03325951270327978,0.9520181422525796,-0.0565643310546875,1.0,0.13861787369789214,0.0
-0.55,4000,49,0.8134002685546875,0.6316222670017613,0.7157031146317065,0.7735595703125,0.034164360529782944,0.008210919455875442,47,0.032182418289437756,1.2155969682972696,-0.0398406982421875,1.0,0.4021966997425821,0.0
-0.55,4000,50,0.8134002685546875,0.6116342275265728,0.775819555385232,0.763427734375,0.03205479660681648,0.009094227844661289,53,0.031531013815898346,0.8320953347373594,-0.0499725341796875,1.0,0.018695066182671916,1.0
-0.55,4000,51,0.8134002685546875,0.6068587719683305,0.7184877515828856,0.752685546875,0.031985936897279,0.008702478739442514,53,0.0315212500142603,0.647588125228368,-0.0607147216796875,1.0,-0.16581214332631955,0.0
-0.55,4000,52,0.8134002685546875,0.6102744045626486,0.7205154857761842,0.789794921875,0.03191654321396777,0.007791753060671587,45,0.032039137475928604,0.7550772779147906,-0.0236053466796875,1.0,-0.05832299063989688,1.0
-0.55,4000,53,0.8134002685546875,0.5888581695994206,0.7597617126868845,0.79541015625,0.03244180366465707,0.008171855042687333,51,0.03336347979713421,0.9747456759720613,-0.0179901123046875,1.0,0.1613454074173738,0.0
-0.55,4000,54,0.8134002685546875,0.5914342121743887,0.772000942759168,0.779296875,0.033049919882006715,0.008620612329237365,49,0.03200578780607298,0.880924435494545,-0.0341033935546875,1.0,0.06752416693985752,0.0
-0.55,4000,55,0.8134002685546875,0.6125424283883781,0.7431444191671526,0.781494140625,0.03321354252859712,0.008269953171338718,51,0.03431904507449546,0.8673041089466303,-0.0319061279296875,1.0,0.05390384039194285,1.0
-0.55,4000,56,0.8134002685546875,0.6493762709235587,0.718276148098258,0.739501953125,0.030968235215660566,0.008938693722444628,50,0.03025268864138802,0.7254055907870841,-0.0738983154296875,0.0,-0.08799467776760339,0.0
