cell,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,p_min,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
baseline,0,0.33960013695911856,0.58599853515625,0.6022398978331529,0.3538684245163531,0.5262451171875,0.024902600860724003,0.008467066589182918,73,0.035944623412756505,0.2648195068482851,0.21743332764070442,-0.05975341796875,1.0,0.014268287557234527,1.0,-0.07478063011083347,0.0
baseline,1,0.33960013695911856,0.58599853515625,0.5905844102153672,0.4224994950628175,0.5885009765625,0.028680366415215066,0.008330309652880945,63,0.03394124099398755,0.3381161027859481,0.2282041897997758,0.00250244140625,1.0,0.08289935810369892,0.0,-0.0014840341731704454,1.0
baseline,2,0.33960013695911856,0.58599853515625,0.6056713334527287,0.398534126156481,0.56884765625,0.02708295008330742,0.008085926630595978,55,0.03331114500452246,0.3125117220918815,0.19490181587854297,-0.01715087890625,1.0,0.058933989197362424,0.0,-0.027088414867237065,1.0
baseline,3,0.33960013695911856,0.58599853515625,0.6044230326192603,0.41438530446848054,0.56689453125,0.02741349631584423,0.008683969741738486,61,0.032418047362175934,0.3363177966038633,0.21605389955698148,-0.01910400390625,1.0,0.07478516750936198,0.0,-0.0032823403552552644,1.0
baseline,4,0.33960013695911856,0.58599853515625,0.5723297042819486,0.42485730452209364,0.5594482421875,0.028112896409874643,0.008794480560066457,66,0.03579136475385812,0.3438654294819166,0.25084020796822976,-0.02655029296875,1.0,0.08525716756297508,0.0,0.004265292522798059,1.0
baseline,5,0.33960013695911856,0.58599853515625,0.5871465600318979,0.3960243137367135,0.574951171875,0.02769187278140252,0.008069599013156995,63,0.03662668954562044,0.3112913779529871,0.22157331003233363,-0.01104736328125,1.0,0.056424176777594925,0.0,-0.028308759006131445,1.0
baseline,6,0.33960013695911856,0.58599853515625,0.571794263141202,0.4021120181936728,0.569580078125,0.02747649761575886,0.008280203997726793,56,0.03568209876673558,0.3177895491629647,0.23206790651082934,-0.01641845703125,1.0,0.06251188123455426,0.0,-0.021810587796153857,1.0
baseline,7,0.33960013695911856,0.58599853515625,0.6260938492071585,0.41917399394899973,0.57958984375,0.026856229153053492,0.008398279864436895,72,0.03501615395517986,0.33451771239498573,0.2216191176535846,-0.00640869140625,1.0,0.07957385698988118,0.0,-0.005082424564132826,1.0
baseline,8,0.33960013695911856,0.58599853515625,0.5499030399164226,0.4071188741184103,0.56689453125,0.027634644877451216,0.008448797434769876,64,0.035010321137541295,0.3180345914654375,0.21084415490777375,-0.01910400390625,1.0,0.06751873715929174,0.0,-0.02156554549368106,1.0
baseline,9,0.33960013695911856,0.58599853515625,0.6218882562883656,0.39984460741162486,0.5853271484375,0.027847210901537148,0.007960774180052957,71,0.041967631735337456,0.3085463644565598,0.20448153365885058,-0.00067138671875,1.0,0.060244470452506305,0.0,-0.031053772502558752,1.0
baseline,10,0.33960013695911856,0.58599853515625,0.6096894708421523,0.433501515265697,0.578125,0.0277509111482021,0.00880686409335859,68,0.03527567973119278,0.35037301400599546,0.22243125230639316,-0.00787353515625,1.0,0.09390137830657846,0.0,0.010772877046876905,1.0
baseline,11,0.33960013695911856,0.58599853515625,0.5961337639518238,0.41782032361831867,0.6162109375,0.029212429037736135,0.007619768795780588,61,0.040114498511923134,0.3282271574964394,0.2256342772568055,0.03021240234375,1.0,0.07822018665920011,0.0,-0.011372979462679178,1.0
baseline,12,0.33960013695911856,0.58599853515625,0.5628080465967324,0.42863627260678905,0.591064453125,0.027996409497470537,0.008289575358096515,64,0.040087563844700816,0.33747097892630334,0.23345880618774392,0.00506591796875,1.0,0.08903613564767049,0.0,-0.002129158032815215,1.0
baseline,13,0.33960013695911856,0.58599853515625,0.6244772627005161,0.4855197023657301,0.6328125,0.028525731838605,0.008363633469670947,67,0.038353159452741176,0.4040354922302335,0.215383431786742,0.04681396484375,1.0,0.14591956540661155,0.0,0.06443535527111494,0.0
baseline,14,0.33960013695911856,0.58599853515625,0.6186996558550671,0.4098421797381361,0.576904296875,0.028004260372511927,0.00828856374866963,63,0.03653760887134107,0.32234944055446435,0.20872506960561327,-0.00909423828125,1.0,0.07024204277901752,0.0,-0.01725069640465421,1.0
baseline,15,0.33960013695911856,0.58599853515625,0.5987497664027325,0.4307972440204508,0.59765625,0.027531534125399045,0.00834466779980102,66,0.03426447234549207,0.3511503694100392,0.21176333971755665,0.01165771484375,1.0,0.09119710706133222,0.0,0.011550232450920628,1.0
baseline,16,0.33960013695911856,0.58599853515625,0.5913301099141192,0.4098578368298038,0.5609130859375,0.026424209371429058,0.008674948023910434,61,0.03426257503497448,0.3251049576841698,0.21192888974227972,-0.02508544921875,1.0,0.07025769987068525,0.0,-0.014495179274948755,1.0
baseline,17,0.33960013695911856,0.58599853515625,0.6248011140534868,0.39657183950143815,0.5633544921875,0.02732978463473079,0.008329317761365373,77,0.04342203705881328,0.3068551838592445,0.21342641608422808,-0.02264404296875,1.0,0.05697170254231959,0.0,-0.032744953099874075,1.0
baseline,18,0.33960013695911856,0.58599853515625,0.5959239484562722,0.44032482929887284,0.62060546875,0.028481414085939613,0.007889537231572761,69,0.04100208673897536,0.3512122186147825,0.22996696239070635,0.03460693359375,1.0,0.10072469233975428,0.0,0.011612081655663964,1.0
baseline,19,0.33960013695911856,0.58599853515625,0.62881260582334,0.4612317089388296,0.5787353515625,0.02766324246670902,0.00920044651557147,54,0.027749892600505713,0.38442640894103414,0.2190058208465768,-0.00726318359375,1.0,0.12163157197971103,0.0,0.04482627198191558,1.0
baseline,20,0.33960013695911856,0.58599853515625,0.5864751121219177,0.4414810782147246,0.5941162109375,0.028183033738010142,0.008507867593815806,61,0.03436050029111642,0.3639373259695453,0.21528094143360332,0.00811767578125,1.0,0.10188094125560604,0.0,0.024337189010426752,1.0
baseline,21,0.33960013695911856,0.58599853515625,0.595286050702602,0.46008123744145435,0.6031494140625,0.027567478690274223,0.008715441331803105,59,0.03337531452643516,0.3859139495087919,0.25765100910233535,0.01715087890625,1.0,0.12048110048233579,0.0,0.04631381254967332,1.0
baseline,22,0.33960013695911856,0.58599853515625,0.6504143503619805,0.462317734723121,0.601806640625,0.02774541322381033,0.008710798838319527,58,0.031779327440459845,0.3828725152311727,0.2348694790045483,0.01580810546875,1.0,0.12271759776400243,0.0,0.04327237827205416,1.0
baseline,23,0.33960013695911856,0.58599853515625,0.5584367139982919,0.39374699755742903,0.5479736328125,0.026755273947243346,0.008550709204722073,69,0.03809561740010836,0.31100602635368313,0.20322055157541427,-0.03802490234375,1.0,0.054146860598310476,0.0,-0.02859411060543543,1.0
baseline,24,0.33960013695911856,0.58599853515625,0.6063951053193518,0.43235602425608854,0.592041015625,0.028925514249534285,0.008270292239197886,61,0.034779071760582564,0.34750441380462554,0.2013731063969335,0.00604248046875,1.0,0.09275588729696999,0.0,0.007904276845506986,1.0
baseline,25,0.33960013695911856,0.58599853515625,0.5455070765400337,0.3930850114618709,0.6014404296875,0.02860824347776844,0.007456094769589082,71,0.04524211723321852,0.29695909448005403,0.22123604671511227,0.01544189453125,1.0,0.053484874502752355,1.0,-0.04264104247906453,1.0
baseline,26,0.33960013695911856,0.58599853515625,0.6098754955396547,0.4278382170613416,0.5804443359375,0.0273797809283392,0.00841539790197565,63,0.03504552245921088,0.3389723396568055,0.22237937066781469,-0.00555419921875,1.0,0.08823808010222306,0.0,-0.000627797302313049,1.0
baseline,27,0.33960013695911856,0.58599853515625,0.612754344811876,0.45979192031050964,0.5797119140625,0.027963219170623554,0.008989127014700359,62,0.03272565907058428,0.3759243504733113,0.2276654002966751,-0.00628662109375,1.0,0.12019178335139108,0.0,0.03632421351419274,1.0
baseline,28,0.33960013695911856,0.58599853515625,0.5829619784373614,0.4312240160415162,0.6029052734375,0.02889829327140083,0.008053055885814751,77,0.04172504967369404,0.3384311648885841,0.24749063733219212,0.01690673828125,1.0,0.09162387908239766,0.0,-0.0011689720705344575,1.0
baseline,29,0.33960013695911856,0.58599853515625,0.5819162332639313,0.4071419010132421,0.557861328125,0.027277224988282053,0.008645350020657272,58,0.031083701323299587,0.3291778295539438,0.17099276581216039,-0.02813720703125,1.0,0.06754176405412354,0.0,-0.010422307405174747,1.0
baseline,30,0.33960013695911856,0.58599853515625,0.5828082348620203,0.4362344107649599,0.5823974609375,0.027317057241462207,0.008497358330617323,65,0.035948921549112424,0.3496639913717998,0.22394404010522018,-0.00360107421875,1.0,0.09663427380584133,0.0,0.010063854412681261,1.0
baseline,31,0.33960013695911856,0.58599853515625,0.6627276138921658,0.4546584667582449,0.5938720703125,0.02694168291869655,0.008820435140071758,70,0.03418792296671931,0.37546824232665466,0.21649066171257286,0.00787353515625,1.0,0.11505832979912634,0.0,0.035868105367536096,1.0
baseline,32,0.33960013695911856,0.58599853515625,0.6583792954464199,0.4412230715374015,0.5687255859375,0.02762250669674961,0.009079378586469821,56,0.031104071184081167,0.36363923455478603,0.23864002535076975,-0.01727294921875,1.0,0.10162293457828292,0.0,0.02403909759566747,1.0
baseline,33,0.33960013695911856,0.58599853515625,0.5330860874892158,0.37509377643259756,0.590576171875,0.028489973386801606,0.007299903533651209,60,0.03839218903358059,0.28143486707127874,0.19775395487247574,0.00457763671875,1.0,0.035493639473479,1.0,-0.05816526988783982,0.0
baseline,34,0.33960013695911856,0.58599853515625,0.5805816379234444,0.42438806812049024,0.6121826171875,0.027898524091856947,0.007631779080684226,68,0.041087533793167326,0.33154989265619583,0.19687749210729769,0.02618408203125,1.0,0.08478793116137168,0.0,-0.008050244302922727,1.0
baseline,35,0.33960013695911856,0.58599853515625,0.5819581447030956,0.4133129504454519,0.5906982421875,0.02750628525025771,0.007932150067504026,79,0.04277857501274953,0.3163804953225836,0.1995797655223716,0.00469970703125,1.0,0.07371281348633335,0.0,-0.02321964163653495,1.0
baseline,36,0.33960013695911856,0.58599853515625,0.561388213640956,0.44929224256472156,0.6260986328125,0.02843488465839642,0.007739506543837819,68,0.04081611227238636,0.3615434526324442,0.22006636040356028,0.04010009765625,1.0,0.109692105605603,0.0,0.021943315673325636,1.0
baseline,37,0.33960013695911856,0.58599853515625,0.6370985744159532,0.4955147813788077,0.5809326171875,0.028467532497273285,0.00977075461805578,85,0.03842234376024179,0.4146215820074441,0.23549436441351843,-0.00506591796875,1.0,0.15591464441968916,0.0,0.07502144504832553,0.0
baseline,38,0.33960013695911856,0.58599853515625,0.6287152880178982,0.4758182545481341,0.605224609375,0.028741045073478366,0.008853035585056401,78,0.03924361506656621,0.39267852296365363,0.22451374367985566,0.01922607421875,1.0,0.13621811758901553,0.0,0.05307838600453507,1.0
baseline,39,0.33960013695911856,0.58599853515625,0.5941633003473199,0.47562991254753006,0.6202392578125,0.028647063087814038,0.008286138742498018,61,0.03518175750090675,0.39607883884090417,0.2083005183343683,0.03424072265625,1.0,0.1360297755884115,0.0,0.05647870188178561,0.0
baseline,40,0.33960013695911856,0.58599853515625,0.6256125893476603,0.42300883399826905,0.58935546875,0.028098220035258352,0.008154413720280411,69,0.043669096352654396,0.3315375181452473,0.21735840641054321,0.00335693359375,1.0,0.08340869703915049,0.0,-0.00806261881387127,1.0
baseline,41,0.33960013695911856,0.58599853515625,0.6365702579140836,0.4289543542824862,0.57373046875,0.027745024431660076,0.008681034375989776,69,0.035900306493125506,0.3410589506650019,0.18651714589703702,-0.01226806640625,1.0,0.08935421732336762,0.0,0.001458813705883355,1.0
baseline,42,0.33960013695911856,0.58599853515625,0.5943949429380534,0.3801431610804902,0.562744140625,0.02696408147709577,0.008196840682982872,65,0.03759332724571677,0.2913666362639966,0.2248887610145998,-0.02325439453125,1.0,0.04054302412137162,1.0,-0.048233500695121945,1.0
baseline,43,0.33960013695911856,0.58599853515625,0.6319267791148208,0.46448193763285095,0.5838623046875,0.027645265474924324,0.009248938462267375,60,0.03045075269582484,0.3918390149884776,0.22466659334953398,-0.00213623046875,1.0,0.12488180067373239,0.0,0.05223887802935906,1.0
baseline,44,0.33960013695911856,0.58599853515625,0.6201094761920791,0.4015265215115777,0.572265625,0.026914546523265817,0.008096593729537064,68,0.039861895176274725,0.30857555389313274,0.23542883184749602,-0.01373291015625,1.0,0.061926384552459135,0.0,-0.031024583065985822,1.0
baseline,45,0.33960013695911856,0.58599853515625,0.639915239345051,0.4031913059802009,0.5762939453125,0.027852525827956942,0.008468338886979988,64,0.03906760979484566,0.3169883054180759,0.23312002316587857,-0.00970458984375,1.0,0.06359116902108236,0.0,-0.022611831541042682,1.0
baseline,46,0.33960013695911856,0.58599853515625,0.6056116657824175,0.40519195486513204,0.576416015625,0.02817466295181658,0.008024218139821135,65,0.03928312563781189,0.31729539560279507,0.21884997825344035,-0.00958251953125,1.0,0.06559181790601348,0.0,-0.022304741356323488,1.0
baseline,47,0.33960013695911856,0.58599853515625,0.6156585529747182,0.42411813318802166,0.5782470703125,0.027745693103633267,0.008482778425543958,64,0.03775233884811566,0.33548496124059496,0.19848214776322262,-0.00775146484375,1.0,0.0845179962289031,0.0,-0.0041151757185236,1.0
baseline,48,0.33960013695911856,0.58599853515625,0.5758530267710313,0.4434624187266267,0.6005859375,0.02907940604008401,0.008308501422718287,54,0.03419283639668236,0.3623321781542889,0.20378723235757737,0.01458740234375,1.0,0.10386228176750811,0.0,0.02273204119517036,1.0
baseline,49,0.33960013695911856,0.58599853515625,0.5632734549964722,0.42965777143816075,0.5908203125,0.027792782827058337,0.00819678505726337,65,0.034372371359039,0.34347597272343444,0.23096156449734637,0.00482177734375,1.0,0.09005763447904219,0.0,0.0038758357643158825,1.0
baseline,50,0.33960013695911856,0.58599853515625,0.5729771438246406,0.39254327046783866,0.5557861328125,0.027080684547966652,0.008310712958478779,63,0.03420886846247423,0.304500207848343,0.22468645869003975,-0.03021240234375,1.0,0.0529431335087201,1.0,-0.035099929110775585,1.0
baseline,51,0.33960013695911856,0.58599853515625,0.5953029967905595,0.4551469604262266,0.6005859375,0.02747636958843767,0.008582018560662206,67,0.035353455795742075,0.3714215960037704,0.25852747680256266,0.01458740234375,1.0,0.11554682346710804,0.0,0.031821459044651834,1.0
baseline,52,0.33960013695911856,0.58599853515625,0.5598796934266924,0.42022615584106204,0.57177734375,0.027962946300065475,0.008419419045875577,67,0.03940103161309822,0.33498031146502205,0.2061966194283679,-0.01422119140625,1.0,0.08062601888194348,0.0,-0.004619825494096508,1.0
baseline,53,0.33960013695911856,0.58599853515625,0.6274777503430873,0.4257730447733857,0.57421875,0.027112215325147123,0.008449853687824135,75,0.03826483866612259,0.3435113239645998,0.2122605813970798,-0.01177978515625,1.0,0.08617290781426712,0.0,0.003911187005481265,1.0
baseline,54,0.33960013695911856,0.58599853515625,0.5947014277733057,0.3574527766661573,0.53466796875,0.026248467624315645,0.008148042338704326,66,0.03835844197327043,0.2667905254139008,0.2110302496837109,-0.05133056640625,1.0,0.017852639707038764,1.0,-0.07280961154521776,0.0
baseline,55,0.33960013695911856,0.58599853515625,0.5926371535088689,0.401779324979819,0.5655517578125,0.027204713656590645,0.008154539921048063,52,0.029581629357861863,0.31824079763393937,0.20240075265879848,-0.02044677734375,1.0,0.06217918802070044,0.0,-0.021359339325179194,1.0
baseline,56,0.33960013695911856,0.58599853515625,0.5965493611246001,0.4438623832113252,0.60205078125,0.02886563037383127,0.008359026266745421,66,0.03768694859216864,0.35513523983335427,0.1963121323263536,0.01605224609375,1.0,0.10426224625220665,0.0,0.015535102874235707,1.0
baseline,57,0.33960013695911856,0.58599853515625,0.619285340692069,0.429652435167888,0.57275390625,0.026187440652517997,0.008775639944280246,67,0.03649832718915007,0.3531574506538502,0.2216741983391643,-0.01324462890625,1.0,0.09005229820876942,0.0,0.01355731369473162,1.0
baseline,58,0.33960013695911856,0.58599853515625,0.6705745900472975,0.43885591420147474,0.5523681640625,0.0268783853405895,0.009277166191932959,69,0.031192193242899277,0.3599547759582506,0.21537667956396087,-0.03363037109375,1.0,0.09925577724235618,0.0,0.020354638999132035,1.0
baseline,59,0.33960013695911856,0.58599853515625,0.5531040136331722,0.3821166785615766,0.5587158203125,0.026718996899969465,0.007894597164598217,51,0.03286943583297133,0.2912171760032296,0.19853121356417724,-0.02728271484375,1.0,0.04251654160245805,1.0,-0.048382960955888954,1.0
baseline,60,0.33960013695911856,0.58599853515625,0.6151593998388798,0.3877789795552387,0.5584716796875,0.026807807053043087,0.008462391519366516,63,0.037225942384225025,0.30197455613090357,0.24774515189599988,-0.02752685546875,1.0,0.04817884259612015,1.0,-0.03762558082821499,1.0
baseline,61,0.33960013695911856,0.58599853515625,0.563446531275414,0.42584559571807223,0.59423828125,0.028488317743814957,0.008216564232796328,54,0.034333482482206724,0.33721286733658806,0.24793574110231922,0.00823974609375,1.0,0.08624545875895367,0.0,-0.002387269622530497,1.0
baseline,62,0.33960013695911856,0.58599853515625,0.6207588569340772,0.44762031157367366,0.602294921875,0.028092629967950245,0.008541292191101169,59,0.03601881958653112,0.36660446112676537,0.21517913420178889,0.01629638671875,1.0,0.1080201746145551,0.0,0.02700432416764681,1.0
baseline,63,0.33960013695911856,0.58599853515625,0.5735472362188768,0.3855670865241799,0.568115234375,0.02744950680094131,0.007819818573447103,74,0.044436351260577454,0.2955060681698606,0.20408304492292173,-0.01788330078125,1.0,0.045966949565061366,1.0,-0.04409406878925798,1.0
baseline,64,0.33960013695911856,0.58599853515625,0.5809945491730462,0.3887444046844637,0.55712890625,0.027200362753334303,0.008322930712646668,57,0.033865116341354015,0.30316449888355934,0.1990134076844011,-0.02886962890625,1.0,0.04914426772534514,1.0,-0.03643563807555922,1.0
baseline,65,0.33960013695911856,0.58599853515625,0.6074453481419627,0.3942071806208529,0.5452880859375,0.026439571088009796,0.008751499555689464,55,0.031163781699573817,0.31289766669249486,0.20225613837118564,-0.04071044921875,1.0,0.054607043661734356,0.0,-0.0267024702666237,1.0
baseline,66,0.33960013695911856,0.58599853515625,0.5957180851860002,0.41672530461120894,0.5750732421875,0.02762375028440492,0.0083734249110509,65,0.03964912520944109,0.3330303390609213,0.2180513132514795,-0.01092529296875,1.0,0.07712516765209038,0.0,-0.006569797898197283,1.0
baseline,67,0.33960013695911856,0.58599853515625,0.5936932347392049,0.43034347418042895,0.586669921875,0.02738934618552645,0.008426429585535255,63,0.035469353276072285,0.3509426566887046,0.19876929447619499,0.00067138671875,1.0,0.0907433372213104,0.0,0.011342519729586054,1.0
baseline,68,0.33960013695911856,0.58599853515625,0.6298901581160914,0.4571810896887772,0.6055908203125,0.029524837879697702,0.008569253994392562,66,0.0366204797431082,0.37370235944958385,0.21309058964467717,0.01959228515625,1.0,0.11758095272965863,0.0,0.034102222490465295,1.0
baseline,69,0.33960013695911856,0.58599853515625,0.5795751650493842,0.3864631588758918,0.547119140625,0.026160987850513077,0.008271683321104282,64,0.03705095558243794,0.2945837094843337,0.19153404984153624,-0.03887939453125,1.0,0.04686302191677322,1.0,-0.04501642747478485,1.0
baseline,70,0.33960013695911856,0.58599853515625,0.5807534159256179,0.4408237226956233,0.603271484375,0.028219171674048294,0.00811993326907313,60,0.03704484461200398,0.36290525031991383,0.2151066508060516,0.01727294921875,1.0,0.10122358573650475,0.0,0.02330511336079527,1.0
baseline,71,0.33960013695911856,0.58599853515625,0.6497863161275035,0.42719915092268673,0.5548095703125,0.027342841797456784,0.009046746563875569,57,0.031529319102691016,0.35745941104839984,0.23875225665684374,-0.03118896484375,1.0,0.08759901396356817,0.0,0.017859274089281285,1.0
baseline,72,0.33960013695911856,0.58599853515625,0.628477455892246,0.40031615660540765,0.572021484375,0.026854558149437407,0.008411154949439111,67,0.039419306471603535,0.3147558905256454,0.2090705606927484,-0.01397705078125,1.0,0.06071601964628909,0.0,-0.02484424643347316,1.0
baseline,73,0.33960013695911856,0.58599853515625,0.6218071791977826,0.405695326535793,0.5955810546875,0.028290032460317156,0.007700917335170271,56,0.03561373931324467,0.31741190211310205,0.22237582661343427,0.00958251953125,1.0,0.06609518957667443,0.0,-0.022188234846016508,1.0
baseline,74,0.33960013695911856,0.58599853515625,0.5476092190667956,0.45045683522587254,0.613525390625,0.028736488610064434,0.00810160377285514,69,0.038973956032152555,0.36101526407771506,0.2395995120970541,0.02752685546875,1.0,0.11085669826675398,0.0,0.0214151271185965,1.0
baseline,75,0.33960013695911856,0.58599853515625,0.5521715264003457,0.42303002287097574,0.5816650390625,0.02877524884844669,0.008180078926753539,76,0.041119927538467084,0.3341639592768555,0.248697502180589,-0.00433349609375,1.0,0.08342988591185718,0.0,-0.005436177682263066,1.0
baseline,76,0.33960013695911856,0.58599853515625,0.593226261209039,0.4077083607800093,0.567626953125,0.028042729041100337,0.008262092773590577,66,0.03763932772805552,0.3226592509920828,0.21715368193519455,-0.01837158203125,1.0,0.06810822382089077,0.0,-0.016940885967035746,1.0
baseline,77,0.33960013695911856,0.58599853515625,0.6479974703337056,0.41597612310243076,0.5543212890625,0.026130696126755216,0.008847649180019412,69,0.035764557354955394,0.33601486355913823,0.22539246668439183,-0.03167724609375,1.0,0.0763759861433122,0.0,-0.0035852733999803266,1.0
