n,n_rep,segments,theta_true,bias,mc_sd,rmse,mean_se,se_ratio,cov95_sieve,treatS_bias,treatS_rmse,rho_mean,pp,pm,mp,mm,W_mean,W_mc_sd
1000,500,2,0.16164333333333333,0.01067866666666667,0.03891538423632126,0.04031640159758529,0.03819277778085698,0.9814313421376978,0.928,0.028614666666666566,0.048622913039475975,0.24082339133983077,0.541252,0.172322,0.073328,0.213098,7.904191882024206,1.0147280761757553
2000,500,2,0.16164333333333333,0.005406666666666671,0.02714090561339157,0.027647559466333453,0.026178686917337803,0.9645472885186631,0.942,0.02732066666666666,0.03776735928167482,0.2343063174710933,0.54523,0.16705,0.07202700000000002,0.215693,7.541295657131889,0.6863380554724844
4000,500,2,0.16164333333333333,0.0021356666666666746,0.018059989907830563,0.018167883231436487,0.017322663756020238,0.959173501448601,0.942,0.02832116666666662,0.0335544993422806,0.22953836135113978,0.5495015000000001,0.163779,0.0710825,0.215637,7.368687091124275,0.4918591904814273
8000,500,2,0.16164333333333333,0.0021031666666666837,0.011652327179899079,0.011829137131582243,0.011588777561688277,0.9945461865917713,0.964,0.030025416666666582,0.0328635275753295,0.22897908422246865,0.5512382500000002,0.16374650000000002,0.07274175,0.2122735,7.281693825976953,0.3455757602772598
16000,500,2,0.16164333333333333,0.0017077916666666804,0.008773394165729104,0.008929448620917817,0.007991418594260797,0.9108696638157574,0.94,0.030314916666666525,0.03159431376956053,0.228353513391448,0.5519231250000001,0.163351125,0.072302875,0.212422875,7.237540833173685,0.25002503345152016
