n,n_rep,segments,theta_true,bias,mc_sd,rmse,mean_se,se_ratio,cov95_sieve,treatS_bias,treatS_rmse,rho_mean,pp,pm,mp,mm,W_mean,W_mc_sd,W_mean_se,W_se_ratio
2000,300,2,0.280445,-0.0031983333333333586,0.12536256777931348,0.12519431626475702,0.15171098889656573,1.2101777395277642,0.9066666666666666,-0.012423333333333342,0.07449686458726525,0.347362479707449,0.5234800000000001,0.27724666666666664,0.05386833333333333,0.14540499999999998,6.431298078675262,1.4260372947113287,1.5024222477619869,1.053564484837769
4000,300,2,0.280445,0.003285833333333321,0.11614237496213445,0.11599519153108603,0.12343820571711338,1.0628179917739546,0.88,0.01335166666666654,0.05928670030734829,0.34304777447118795,0.5427708333333334,0.2837308333333333,0.037462499999999996,0.13603583333333333,5.723833514593587,1.082105289456194,1.0640334189359102,0.9832993418511375
8000,300,2,0.280445,-0.0020120833333333032,0.0887873174513704,0.08866204896731934,0.09775009069288608,1.1009465484349683,0.92,0.012646249999999859,0.04292635444863679,0.3367777889011201,0.5473633333333333,0.2784329166666667,0.029446250000000004,0.1447575,5.360362175730109,0.7090728002369505,0.7495727607250093,1.057116787549212
