est,n,n_rep,theta_true,bias,mc_sd,rmse,mean_se,se_ratio,cov95,mean_len,dgp,quad_full_mean,quad_full_sd,corner_mean,corner_sd,corr_riesz_mean,corr_riesz_sd,quad_S_mean,quad_S_sd,quad_Y_mean,quad_Y_sd
dd_gbr,4000,500,0.16099533333333332,-0.004608948030093929,0.027344734746302123,0.027703455583248784,0.01634275610426587,0.5976564137809357,0.752,0.06406242725028269,krr,0.07185000000000001,0.06753934131489958,-0.04789999999999999,0.021693575603041783,-0.009381364696760602,0.009553553409628206,,,,
plugin,4000,500,0.16099533333333332,0.0037106666666666677,0.018495891706539595,0.0188462956867155,0.018502076315456972,1.0003343774398934,0.954,0.07252680700709663,krr,,,,,,,,,,
ss,4000,500,0.16099533333333332,0.0004419166666666807,0.020422417068636872,0.020406769931269813,0.018502076315456972,0.9059689777793732,0.934,0.07252680700709661,krr,0.02229,0.04559363397359148,-0.019943999999999996,0.01712551987128342,,,0.009295999999999997,0.025571942289644902,0.032938,0.03965070633703835
ss_margins,4000,500,0.16099533333333332,-0.0020510833333333145,0.020415143996462347,0.020497597201325275,0.018502076315456972,0.9062917370880714,0.932,0.07252680700709661,krr,,,,,,,,,,
cf_gbr,8000,500,0.16099533333333332,0.008826916666666684,0.014200047319472232,0.016707858002382527,0.011710229689950025,0.8246613146064682,0.82,0.04590325724806642,krr,,,,,,,,,,
cf_riesz_gbr,8000,500,0.16099533333333332,0.00451371402192538,0.014127526967114378,0.014817606366814333,0.011710229689950025,0.8288945204074809,0.882,0.04590325724806642,krr,,,,,,,,,,
dd_gbr,8000,500,0.16099533333333332,-0.010854160978074623,0.01949211712903907,0.022293397126723236,0.011710229689950025,0.6007674596057242,0.69,0.04590325724806642,krr,0.058675,0.05141457762721746,-0.029858000000000003,0.013706588822690654,-0.004313202644741297,0.006217017137180806,,,,
plugin,8000,500,0.16099533333333332,0.0030514166666666676,0.013305816310278214,0.013638247756259277,0.012511515302991102,0.9403042257036461,0.948,0.0490442391586233,krr,,,,,,,,,,
ss,8000,500,0.16099533333333332,0.0006821666666666781,0.013405808681792593,0.013409758624267297,0.012511515302991102,0.9332906055853164,0.93,0.0490442391586233,krr,0.013698000000000004,0.026905475376034913,-0.00949700000000001,0.008663347978489194,,,0.005791000000000008,0.015837502073997905,0.017404000000000003,0.021639531479338704
ss_margins,8000,500,0.16099533333333332,-0.000504958333333333,0.013508082367618869,0.013504011833165647,0.012511515302991102,0.9262243864446145,0.926,0.0490442391586233,krr,,,,,,,,,,
cf_gbr,1000,500,0.0,0.174208,0.03570566516745067,0.17782230456272913,0.06913205703080022,1.9361649392775098,0.126,0.2709926860526307,wgan2d,,,,,,,,,,
cf_riesz_gbr,1000,500,0.0,0.17323789115221916,0.1098549279299526,0.2050739766791053,0.06913205703080022,0.6293031940713781,0.146,0.2709926860526307,wgan2d,,,,,,,,,,
dd_gbr,1000,500,0.0,0.11837789115221915,0.12025105099741304,0.168655624718232,0.06913205703080022,0.5748977365053338,0.422,0.2709926860526307,wgan2d,0.218416,0.19952581799881489,-0.20310399999999998,0.10065101309412512,-0.0009701088477808497,0.10141574821342124,,,,
plugin,1000,500,0.0,0.06037800000000001,0.043195588127346224,0.07421340849199691,0.0690585327613851,1.5987404213085732,0.922,0.2707044762102708,wgan2d,,,,,,,,,,
ss,1000,500,0.0,0.031432,0.06430544110346356,0.07151845915566134,0.0690585327613851,1.0739142998844236,0.888,0.2707044762102708,wgan2d,0.298,0.29454721203949713,-0.13969600000000001,0.13765364010176606,,,-0.024127999999999997,0.0823544298762397,0.46182400000000007,0.31350022297218105
ss_margins,1000,500,0.0,0.013969999999999998,0.0668833826428321,0.06826127013175187,0.0690585327613851,1.0325215327425745,0.866,0.2707044762102708,wgan2d,,,,,,,,,,
cf_gbr,2000,500,0.0,0.160842,0.02998294498510712,0.16360723700374627,0.03518368539208623,1.1734566237426771,0.008,0.1379175135116298,wgan2d,,,,,,,,,,
cf_riesz_gbr,2000,500,0.0,0.15976897544397672,0.03612555925837326,0.16379429609752844,0.03518368539208623,0.9739277706526102,0.026,0.1379175135116298,wgan2d,,,,,,,,,,
dd_gbr,2000,500,0.0,0.08581697544397673,0.05234752559437482,0.10049545354559143,0.03518368539208623,0.672117449537424,0.376,0.1379175135116298,wgan2d,0.29370399999999997,0.15493690093241533,-0.174064,0.06875039736813565,-0.0010730245560232636,0.022272863626255548,,,,
plugin,2000,500,0.0,0.03293700000000001,0.02428357294200463,0.040906704829404186,0.03684968088046351,1.5174736011240995,0.94,0.14444809587439358,wgan2d,,,,,,,,,,
ss,2000,500,0.0,0.010062,0.034687636417612557,0.03608420014355313,0.03684968088046351,1.0623289646149883,0.906,0.14444809587439358,wgan2d,0.20820800000000003,0.18058978397504194,-0.06521600000000001,0.058687253568921814,,,-0.012287999999999999,0.03620844042922359,0.28571199999999997,0.19219294813969962
ss_margins,2000,500,0.0,0.0019099999999999998,0.03615726546202551,0.036171553049323166,0.03684968088046351,1.0191501046771696,0.894,0.14444809587439358,wgan2d,,,,,,,,,,
cf_gbr,4000,500,0.0,0.13407600000000003,0.02308195783626489,0.1360444228919363,0.023551962593546007,1.0203624302849508,0.0,0.09232199762539363,wgan2d,,,,,,,,,,
cf_riesz_gbr,4000,500,0.0,0.13415159476572686,0.02409856477760076,0.13629464303808617,0.023551962593546007,0.9773180606770902,0.0,0.09232199762539363,wgan2d,,,,,,,,,,
dd_gbr,4000,500,0.0,0.046068594765726854,0.035299215425798114,0.058016014721336266,0.023551962593546007,0.6672092370736735,0.508,0.09232199762539363,wgan2d,0.3527,0.11042954028127377,-0.12903399999999998,0.046388971937680074,7.55947657268642e-05,0.012189720233928288,,,,
plugin,4000,500,0.0,0.017318,0.011263385534883144,0.02065243932323734,0.019495924879085233,1.7309116178883865,0.936,0.07642262181942283,wgan2d,,,,,,,,,,
ss,4000,500,0.0,0.00504875,0.018347787668057537,0.019012046345672523,0.019495924879085233,1.062576329735194,0.898,0.07642262181942283,wgan2d,0.108834,0.1021540863534956,-0.031875999999999995,0.03062457106157425,,,-0.009476,0.019084072617114794,0.150186,0.10295332037556004
ss_margins,4000,500,0.0,0.00106425,0.01879446872878013,0.01880580279461635,0.019495924879085233,1.0373224782476003,0.886,0.07642262181942283,wgan2d,,,,,,,,,,
cf_gbr,8000,500,0.0,0.0961665,0.017472805674139814,0.09773783332210716,0.016004355405021743,0.9159579579545479,0.0,0.06273592087409609,wgan2d,,,,,,,,,,
cf_riesz_gbr,8000,500,0.0,0.09659100331360765,0.01764312618953165,0.09818594228842346,0.016004355405021743,0.9071156229964363,0.0,0.06273592087409609,wgan2d,,,,,,,,,,
dd_gbr,8000,500,0.0,0.007144128313607648,0.01997952600656126,0.021199567587317777,0.016004355405021743,0.801037792376352,0.866,0.06273592087409609,wgan2d,0.35779500000000003,0.07660420277481864,-0.077744,0.026781840825380022,0.00042450331360764903,0.006229971109003171,,,,
plugin,8000,500,0.0,0.00854475,0.0061351086219484504,0.010515561385394506,0.01060483454221621,1.728548783028428,0.93,0.0415701878574005,wgan2d,,,,,,,,,,
ss,8000,500,0.0,0.0018303749999999995,0.009111253312290051,0.009284351333695855,0.01060483454221621,1.1639270887037556,0.898,0.0415701878574005,wgan2d,0.05940700000000001,0.0483564736937692,-0.016067,0.01454152408950628,,,-0.005654,0.010114043293534339,0.08112800000000002,0.048918356751372065
ss_margins,8000,500,0.0,-0.00017800000000000015,0.00924911493084652,0.009241575555607388,0.01060483454221621,1.146578307384662,0.874,0.0415701878574005,wgan2d,,,,,,,,,,
cf_gbr,1000,500,0.20872323163129647,0.027666768368703548,0.037798615989761884,0.04681162218901941,0.03778840639496903,0.9997298950100285,0.862,0.14812783230301818,affine,,,,,,,,,,
cf_riesz_gbr,1000,500,0.20872323163129647,0.025530231118292723,0.04156501948543642,0.04874410983994376,0.03778840639496903,0.9091396290144735,0.87,0.14812783230301818,affine,,,,,,,,,,
