expansion,K,p,spec,n,W_true,W_mean,bias,sd,replications,rfg_type,activation,n_features,alpha
tan2,3,3,tan2_K3_p3,1500,1.0,1.001691233141119,0.001691233141118964,0.07647742551104239,1500,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,3000,1.0,1.0002813762282219,0.0002813762282218857,0.053001143937071185,1500,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,6000,1.0,1.001217957439512,0.0012179574395119186,0.03751309440537612,1500,iid_sphere,exp,100,0.001
tan2,7,7,tan2_K7_p7,1500,1.0,0.9950046583720471,-0.004995341627952898,0.09377478060222644,1500,iid_sphere,exp,100,0.001
tan2,7,7,tan2_K7_p7,3000,1.0,1.0011804189160323,0.0011804189160322665,0.06812731176292706,1500,iid_sphere,exp,100,0.001
tan2,7,7,tan2_K7_p7,6000,1.0,1.0003275975929022,0.0003275975929022401,0.04509495037710301,1500,iid_sphere,exp,100,0.001
tan2,10,10,tan2_K10_p10,1500,1.0,0.9901375123333249,-0.00986248766667508,0.09861764141442377,1500,iid_sphere,exp,100,0.001
tan2,10,10,tan2_K10_p10,3000,1.0,0.9882182518464276,-0.011781748153572358,0.06926692384689234,1500,iid_sphere,exp,100,0.001
tan2,10,10,tan2_K10_p10,6000,1.0,0.9895753899736651,-0.01042461002633488,0.04741965979074222,1500,iid_sphere,exp,100,0.001
