expansion,K,p,spec,n,rep,W_hat,W_true,rfg_type,activation,n_features,alpha
tan2,3,3,tan2_K3_p3,1500,53,1.1005301237953797,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,54,0.9682000365429869,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,55,0.90400422060809,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,56,1.0413330611905534,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,57,0.9185831943174859,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,58,1.1399619415511824,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,59,0.9848247557256389,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,60,0.9771852652021,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,61,1.0477304082897811,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,62,1.064813118752077,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,63,1.043586104588489,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,64,1.0982461687001042,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,65,0.8601010682738572,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,66,1.0565573386310199,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,67,1.0313492924295917,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,68,0.9695001339415104,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,69,1.1746264896887375,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,70,1.1053027170103058,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,71,1.0850737496659342,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,72,0.9864347212312508,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,73,1.0735560206842707,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,74,1.0047922807747212,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,75,1.0986420476696859,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,76,1.053694220277464,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,77,1.0603002448035492,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,78,1.0699500802147712,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,79,1.0674887974535339,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,80,0.9969078543154393,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,81,1.010321120545652,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,82,0.9228199187248791,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,83,1.0934064720125751,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,84,1.0569269281493032,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,85,0.9315784980868529,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,86,1.0199929196216484,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,87,1.0270766846123451,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,88,0.8562410674370902,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,89,1.145585063824127,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,90,0.897842161437694,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,91,1.007292894583279,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,92,1.038421453959204,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,93,1.0709511788990644,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,94,0.9894416903727731,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,95,1.034662327527643,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,96,1.1140822681707956,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,97,0.8879927047335776,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,98,0.8681220474251164,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,99,0.9558974906796797,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,100,1.0230944810926328,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,101,1.062766180342361,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,102,1.13504624509181,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,103,0.9433838439260323,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,104,0.9474597309955662,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,105,0.9449022719612343,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,106,0.9671956477165661,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,107,1.0115714760479129,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,108,0.9399764888864011,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,109,1.128107133921873,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,110,0.8935071959174262,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,111,0.8118074876572972,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,112,0.9994387822749216,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,113,1.026437337212041,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,114,1.0503603052559929,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,115,0.9715920725520735,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,116,1.0095668069748744,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,117,1.0422530744990137,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,118,0.922193298625982,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,119,0.8709286846387074,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,120,1.075617672725683,1.0,iid_sphere,exp,100,0.001
