est,n,n_rep,theta_true,bias,mc_sd,rmse,mean_se,se_ratio,cov95,mean_len,dgp,quad_full_mean,quad_full_sd,corner_mean,corner_sd,corr_riesz_mean,corr_riesz_sd,quad_S_mean,quad_S_sd,quad_Y_mean,quad_Y_sd
cf_gbr,1000,500,0.19387,0.04516400000000001,0.04339187197052245,0.06260092443406887,0.09407509266376804,2.1680348966662786,0.96,0.36876758983529895,wgan2ds,,,,,,,,,,
cf_riesz_gbr,1000,500,0.19387,0.049191994397085825,0.1242121446709506,0.13348277747616946,0.09407509266376804,0.7573743526688281,0.91,0.36876758983529895,wgan2ds,,,,,,,,,,
dd_gbr,1000,500,0.19387,0.06093099439708588,0.14128203750578913,0.15373119062754095,0.09407509266376804,0.6658673269764619,0.772,0.36876758983529895,wgan2ds,-0.05156,0.2396913813983166,-0.200976,0.10794227389204829,0.004027994397085825,0.11438558223458672,,,,
plugin,1000,500,0.19387,0.06446000000000002,0.10076344398285805,0.11953265955378055,0.13456310293775217,1.335435725684844,0.956,0.527477674972577,wgan2ds,,,,,,,,,,
ss,1000,500,0.19387,0.06551099999999999,0.13702678211588445,0.15175795682599316,0.13456310293775217,0.9820204551249789,0.876,0.527477674972577,wgan2ds,-0.004503999999999989,0.42477839322486893,-0.17588800000000002,0.18089136748241835,,,-0.045416,0.22057257187358054,0.21680000000000002,0.3434997527805816
ss_margins,1000,500,0.19387,0.04352500000000001,0.13959101610976657,0.1460859544925521,0.13456310293775217,0.9639811120218458,0.886,0.527477674972577,wgan2ds,,,,,,,,,,
cf_gbr,2000,500,0.19387,0.046265,0.035861670259311335,0.058514421299368596,0.04241778461674331,1.1828167597890873,0.84,0.16627466161714136,wgan2ds,,,,,,,,,,
cf_riesz_gbr,2000,500,0.19387,0.04106167592338952,0.041723081622947494,0.058509786691393575,0.04241778461674331,1.0166503279904842,0.84,0.16627466161714138,wgan2ds,,,,,,,,,,
dd_gbr,2000,500,0.19387,0.04463767592338952,0.07032983181157994,0.08324010321955026,0.04241778461674331,0.6031264901981345,0.656,0.16627466161714138,wgan2ds,-0.01893600000000001,0.19072443872523023,-0.183596,0.07649635395452957,-0.005203324076610472,0.026578474622720595,,,,
plugin,2000,500,0.19387,0.05920900000000001,0.08836682437601003,0.10629573810835503,0.10156387444273458,1.14934394395084,0.928,0.3981230752165597,wgan2ds,,,,,,,,,,
ss,2000,500,0.19387,0.05193450000000002,0.12127952775491381,0.13181994801622401,0.10156387444273458,0.8374362625156213,0.868,0.3981230752165597,wgan2ds,0.06380399999999999,0.38142994532467,-0.117292,0.12352479705295592,,,-0.036048000000000004,0.17390794588887126,0.21714399999999998,0.31241933189526505
ss_margins,2000,500,0.19387,0.037273,0.1236191355833098,0.12899768924286978,0.10156387444273458,0.8215869975428548,0.866,0.3981230752165597,wgan2ds,,,,,,,,,,
cf_gbr,4000,500,0.19387,0.046919000000000016,0.031841973896151704,0.0566857657617854,0.03272130174289461,1.027615368620385,0.726,0.12826514689842136,wgan2ds,,,,,,,,,,
cf_riesz_gbr,4000,500,0.19387,0.045644925059156904,0.03349600573305995,0.056596798663220316,0.03272130174289461,0.9768717501322637,0.718,0.1282651468984214,wgan2ds,,,,,,,,,,
dd_gbr,4000,500,0.19387,0.03364942505915691,0.05700829586676404,0.06614929865727269,0.03272130174289461,0.5739743882077906,0.66,0.1282651468984214,wgan2ds,0.045287999999999995,0.15497831335778062,-0.15079400000000004,0.05813459233237387,-0.0012740749408431036,0.014669251868534756,,,,
plugin,4000,500,0.19387,0.04699300000000001,0.06182017833927527,0.07760433641234234,0.076032839558527,1.2299032710849074,0.936,0.29804325670497755,wgan2ds,,,,,,,,,,
ss,4000,500,0.19387,0.03629399999999999,0.07798181434306638,0.08594332712607769,0.076032839558527,0.975007316757658,0.91,0.29804325670497755,wgan2ds,0.094968,0.23692470873934288,-0.07046600000000001,0.07369623541422221,,,0.0007859999999999979,0.12410729812099604,0.16464800000000002,0.19029670982847574
ss_margins,4000,500,0.19387,0.027485750000000003,0.07815809281919416,0.08277642509344071,0.076032839558527,0.9728082763536262,0.918,0.29804325670497755,wgan2ds,,,,,,,,,,
cf_gbr,8000,500,0.19387,0.041519500000000015,0.027617047586314683,0.04985022362036103,0.026686268011722806,0.9662969196224612,0.656,0.10460824919465656,wgan2ds,,,,,,,,,,
cf_riesz_gbr,8000,500,0.19387,0.041612357058629645,0.02796694790640358,0.05012159349845114,0.026686268011722806,0.9542073772595137,0.632,0.10460824919465656,wgan2ds,,,,,,,,,,
dd_gbr,8000,500,0.19387,0.02089298205862966,0.044642008958029965,0.049248754757693435,0.026686268011722806,0.5977837609595887,0.702,0.10460824919465656,wgan2ds,0.081451,0.11881018820219622,-0.11345599999999999,0.041529513179543294,9.28570586296632e-05,0.008921212662503696,,,,
plugin,8000,500,0.19387,0.031718000000000024,0.04525236454035287,0.05522420182764076,0.051122802415646845,1.1297266548372105,0.952,0.2003977046275617,wgan2ds,,,,,,,,,,
ss,8000,500,0.19387,0.020605000000000012,0.05350509610652744,0.05728556313548817,0.051122802415646845,0.9554753871269103,0.93,0.20039770462756173,wgan2ds,0.101558,0.16151625192305122,-0.04353799999999999,0.04771482962278985,,,0.026525000000000003,0.08410827711681602,0.11857099999999998,0.14122404157521365
ss_margins,8000,500,0.19387,0.01516275000000003,0.053694073551058805,0.05574223188032572,0.051122802415646845,0.9521125709904114,0.94,0.2003977046275617,wgan2ds,,,,,,,,,,
