label,n,n_rep,theta_true,bias,plugin_bias,mc_sd,plugin_sd,rmse,mean_se,se_ratio,cov95,mean_corr,bias_over_se,secs,segments,delta,learner,K,riesz
tensor-sieve plug-in n=2000,2000,300,0.16099533333333332,0.004193000000000002,0.004193000000000002,0.02469053338193616,0.02469053338193616,0.02500343202220225,0.027120370153185677,1.0984116759918685,0.9633333333333334,0.0,0.15460703435522521,8.7,2.0,0.08,,,
gbr K=5 n=2000,2000,300,0.16099533333333332,0.020964131200921332,0.03254133333333334,0.025187946941329774,0.02264784917964106,0.03273855055677159,0.025899810153745772,1.0282620578038433,0.8833333333333333,-0.01157720213241201,0.8094318482056281,391.0,,,gbr,5.0,sieve
krr K=5 n=2000,2000,300,0.16099533333333332,0.0046660938753130266,0.004841333333333364,0.025081371054803472,0.024144561604478632,0.025470584775292033,0.02422945762365783,0.9660340166698148,0.94,-0.00017523945802029462,0.19257937787088625,26.5,,,krr,5.0,sieve
tensor-sieve plug-in n=8000,8000,300,0.16099533333333332,0.0026725833333333393,0.0026725833333333393,0.011586963153769482,0.011586963153769482,0.011872358278090052,0.01233924540817922,1.0649248853583353,0.97,0.0,0.21659212090569044,22.3,2.0,0.08,,,
gbr K=5 n=8000,8000,300,0.16099533333333332,0.0007503958952487511,0.003398833333333351,0.01399877402908999,0.013626499462354499,0.013995554630050885,0.01253119757240426,0.8951639298101356,0.92,-0.0026484374380845994,0.05988221723526609,470.5,,,gbr,5.0,sieve
krr K=5 n=8000,8000,300,0.16099533333333332,0.0009583463133008008,0.001120916666666666,0.011804282210280853,0.011485039004022278,0.011823495079480674,0.01078954885440324,0.9140368437655754,0.9333333333333333,-0.00016257035336588816,0.08882172241239701,51.7,,,krr,5.0,sieve
tensor-sieve plug-in n=16000,16000,300,0.16099533333333332,0.002066125000000002,0.002066125000000002,0.008021371658265851,0.008021371658265851,0.00827023585625317,0.008476927503403727,1.056792761206674,0.9733333333333334,0.0,0.24373512680984874,38.9,2.0,0.08,,,
gbr K=5 n=16000,16000,300,0.16099533333333332,-0.005776622628688416,-0.003926999999999958,0.011102067170610599,0.01125790401146353,0.0124985763777382,0.00892096953694643,0.803541304502465,0.8033333333333333,-0.0018496226286884114,0.6475330517343861,525.9,,,gbr,5.0,sieve
krr K=5 n=16000,16000,300,0.16099533333333332,-0.0014948124672858332,-0.001226999999999978,0.008525477285440071,0.00853128325843624,0.008641524636723116,0.007482987494482951,0.8777206535125607,0.9133333333333333,-0.00026781246728584444,0.19976145468476686,86.7,,,krr,5.0,sieve
