nuisance,n,reps,theta,bias,mc_sd,mean_se,cover95,dgp
sieve,4000,100,0.16164333333333333,0.00014416666666666744,0.017842689948434333,0.016961908671562154,0.92,"KRR (d=2, exact)"
rf,4000,100,0.16164333333333333,-0.007860833333333345,0.01742613034897289,0.01705010172953958,0.9,"KRR (d=2, exact)"
gbr,4000,100,0.16164333333333333,0.01267916666666663,0.017663675239875703,0.018276890601888904,0.93,"KRR (d=2, exact)"
rf,4000,100,0.12636,0.06953000000000001,0.017418581161993924,0.027256350720224067,0.15,"WGAN (d=26, faithful)"
gbr,4000,100,0.12636,0.056429999999999925,0.019859631152036775,0.041881536467614014,0.92,"WGAN (d=26, faithful)"
